SUBJNO	BLOCKNUM	BLOCKSIZE	NUMINBLOCK	TERM1	OP	TERM2	TERM3	ANSWER	PROBE	PROBETYPE	DIFFIC	MATHRESP	MATHACC	TIMEOUT	TBRLETTER	TYPED	RECALLED	MATHTIME	TFTIME	MAXTIME	
155743	Cal	15	1	7	*	7	2	51	43	0	4	0	1	0	-	NA	-1	2.31	1.147	10	
155743	Cal	15	2	6	/	2	3	6	6	1	1	0	0	0	-	NA	-1	0.162	2.499	10	
155743	Cal	15	3	7	*	9	7	70	70	1	4	1	1	0	-	NA	-1	1.828	0.72	10	
155743	Cal	15	4	1	*	2	7	9	18	0	1	0	1	0	-	NA	-1	0.902	1.413	10	
155743	Cal	15	5	9	/	1	4	13	6	0	1	0	1	0	-	NA	-1	1.215	0.954	10	
155743	Cal	15	6	1	*	4	1	5	5	1	1	1	1	0	-	NA	-1	0.782	0.593	10	
155743	Cal	15	7	4	*	6	-6	18	21	0	3	0	1	0	-	NA	-1	1.031	1.079	10	
155743	Cal	15	8	6	*	8	-8	40	40	1	4	1	1	0	-	NA	-1	0.921	0.627	10	
155743	Cal	15	9	5	*	9	9	54	49	0	4	0	1	0	-	NA	-1	1.11	1.098	10	
155743	Cal	15	10	9	/	9	9	10	2	0	1	0	1	0	-	NA	-1	0.983	0.816	10	
155743	Cal	15	11	4	*	9	3	39	36	0	3	0	1	0	-	NA	-1	1.062	1.562	10	
155743	Cal	15	12	3	*	5	3	18	24	0	2	0	1	0	-	NA	-1	0.798	0.959	10	
155743	Cal	15	13	8	/	4	1	3	3	1	1	0	0	0	-	NA	-1	1.469	0.841	10	
155743	Cal	15	14	5	*	8	4	44	44	1	4	1	1	0	-	NA	-1	1.406	0.601	10	
155743	Cal	15	15	6	*	7	6	48	48	1	4	1	1	0	-	NA	-1	0.861	0.571	10	
155743	Prac1	2	1	6	/	3	7	9	14	0	1	0	1	0	P	p	1	1.876	0.968	3.521840062852423	
155743	Prac1	2	2	7	*	5	-4	31	31	1	3	1	1	0	N	n	1	1.405	0.767	3.521840062852423	
155743	Prac2	3	1	2	*	7	2	16	16	1	2	1	1	0	H	h	1	1.172	1.146	3.521840062852423	
155743	Prac2	3	2	2	*	9	-9	9	15	0	2	0	1	0	F	f	1	1.464	1.029	3.521840062852423	
155743	Prac2	3	3	8	*	7	6	62	62	1	4	1	1	0	P	p	1	1.423	1.709	3.521840062852423	
155743	3	6	1	1	*	5	2	7	16	0	1	0	1	0	N	-	0	1.215	0.808	3.521840062852423	
155743	3	6	2	4	*	3	6	18	23	0	2	0	1	0	L	n	0	2.279	0.9	3.521840062852423	
155743	3	6	3	7	/	7	5	6	6	1	1	1	1	0	T	l	0	1.505	0.651	3.521840062852423	
155743	3	6	4	1	*	9	-6	3	5	0	1	0	1	0	Y	t	0	0.995	0.931	3.521840062852423	
155743	3	6	5	4	/	4	5	6	6	1	1	1	1	0	S	y	0	0.929	1.571	3.521840062852423	
155743	3	6	6	7	*	4	-8	20	20	1	3	1	1	0	K	k	1	1.78	0.903	3.521840062852423	
155743	4	4	1	1	/	1	8	9	11	0	1	0	1	0	N	n	1	1.124	1.365	3.521840062852423	
155743	4	4	2	2	/	1	3	5	5	1	1	1	1	0	T	t	1	0.909	0.653	3.521840062852423	
155743	4	4	3	3	/	1	2	5	5	1	1	1	1	0	H	h	1	0.739	0.812	3.521840062852423	
155743	4	4	4	2	*	5	-1	9	2	0	2	0	1	0	K	k	1	0.673	1.285	3.521840062852423	
155743	5	3	1	8	*	6	1	49	49	1	4	1	1	0	J	j	1	2.105	1.044	3.521840062852423	
