Subject	BlockNum	BlockSize	NumInBlock	Image	SymmCorrect	SymmResp	SymmAcc	Timeout	Target	TargetResp	Acc	ViewTime	YNTime	MaxTime	
095413	SqPrac1	2	1	NA	NA	NA	NA	NA	4	4	1	NA	NA	10	
095413	SqPrac1	2	2	NA	NA	NA	NA	NA	2	2	1	NA	NA	10	
095413	SqPrac2	3	1	NA	NA	NA	NA	NA	9	9	1	NA	NA	10	
095413	SqPrac2	3	2	NA	NA	NA	NA	NA	5	5	1	NA	NA	10	
095413	SqPrac2	3	3	NA	NA	NA	NA	NA	6	6	1	NA	NA	10	
095413	Symm1	6	1	pracsymm6.bmp	symmetric	1	1	0	NA	NA	NA	3.738	1.016	10	
095413	Symm1	6	2	pracsymm5.bmp	symmetric	1	1	0	NA	NA	NA	1.884	0.676	10	
095413	Symm1	6	3	pracsymm4.bmp	symmetric	1	1	0	NA	NA	NA	2.214	1.124	10	
095413	Symm1	6	4	pracsymm15.bmp	nonsymmetric	0	1	0	NA	NA	NA	2.995	0.778	10	
095413	Symm1	6	5	pracsymm7.bmp	symmetric	1	1	0	NA	NA	NA	2.063	0.952	10	
095413	Symm1	6	6	pracsymm2.bmp	symmetric	1	1	0	NA	NA	NA	2.331	0.609	10	
095413	CombPrac1	2	1	pracsymm11.bmp	nonsymmetric	1	0	0	3	3	1	3.236	0.68	10	
095413	CombPrac1	2	2	pracsymm8.bmp	nonsymmetric	0	1	0	1	1	1	1.648	0.658	10	
095413	CombPrac2	3	1	pracsymm10.bmp	nonsymmetric	0	1	0	12	12	1	3.166	2.164	10	
095413	CombPrac2	3	2	pracsymm9.bmp	nonsymmetric	0	1	0	1	2	0	1.089	0.675	10	
095413	CombPrac2	3	3	pracsymm3.bmp	symmetric	0	0	0	9	9	1	1.163	0.514	10	
095413	1	5	1	symm46.bmp	nonsymmetric	0	1	0	3	7	0	1.805	0.543	6.120616489829427	
095413	1	5	2	symm35.bmp	nonsymmetric	1	0	0	9	2	0	5.088	0.619	6.120616489829427	
095413	1	5	3	symm3.bmp	symmetric	1	1	0	1	9	0	1.379	0.62	6.120616489829427	
095413	1	5	4	symm17.bmp	symmetric	1	1	0	15	15	1	1.207	0.48	6.120616489829427	
095413	1	5	5	symm21.bmp	symmetric	1	1	0	2	2	1	1.569	0.694	6.120616489829427	
095413	2	5	1	symm1.bmp	symmetric	1	1	0	6	6	1	1.339	0.834	6.120616489829427	
095413	2	5	2	symm45.bmp	nonsymmetric	0	1	0	1	1	1	2.574	0.899	6.120616489829427	
095413	2	5	3	symm14.bmp	symmetric	1	1	0	5	5	1	1.096	0.613	6.120616489829427	
095413	2	5	4	symm6.bmp	symmetric	1	1	0	15	14	0	1.302	1.05	6.120616489829427	
095413	2	5	5	symm44.bmp	nonsymmetric	1	0	0	14	14	1	3.782	1.017	6.120616489829427	
095413	3	2	1	symm41.bmp	nonsymmetric	0	1	0	4	4	1	1.906	0.781	6.120616489829427	
095413	3	2	2	symm37.bmp	nonsymmetric	0	1	0	16	16	1	1.941	0.85	6.120616489829427	
095413	4	2	1	symm47.bmp	nonsymmetric	0	1	0	5	5	1	2.613	1.369	6.120616489829427	
095413	4	2	2	symm2.bmp	symmetric	1	1	0	13	13	1	3.511	0.737	6.120616489829427	
095413	5	3	1	symm8.bmp	symmetric	1	1	0	8	8	1	1	0.568	6.120616489829427	
095413	5	3	2	symm31.bmp	nonsymmetric	0	1	0	2	2	1	1.989	0.752	6.120616489829427	
095413	5	3	3	symm23.bmp	symmetric	1	1	0	6	6	1	1.408	0.933	6.120616489829427	
095413	6	3	1	symm42.bmp	nonsymmetric	0	1	0	11	11	1	1.464	1.26	6.120616489829427	
095413	6	3	2	symm4.bmp	symmetric	1	1	0	10	10	1	0.907	0.647	6.120616489829427	
