Subject	BlockNum	BlockSize	NumInBlock	Image	SymmCorrect	SymmResp	SymmAcc	Timeout	Target	TargetResp	Acc	ViewTime	YNTime	MaxTime	
125437	SqPrac1	2	1	NA	NA	NA	NA	NA	2	2	1	NA	NA	10	
125437	SqPrac1	2	2	NA	NA	NA	NA	NA	4	4	1	NA	NA	10	
125437	SqPrac2	3	1	NA	NA	NA	NA	NA	12	12	1	NA	NA	10	
125437	SqPrac2	3	2	NA	NA	NA	NA	NA	7	7	1	NA	NA	10	
125437	SqPrac2	3	3	NA	NA	NA	NA	NA	4	4	1	NA	NA	10	
125437	Symm1	6	1	pracsymm8.bmp	nonsymmetric	1	0	0	NA	NA	NA	7.113	1.286	10	
125437	Symm1	6	2	pracsymm1.bmp	symmetric	1	1	0	NA	NA	NA	1.374	0.566	10	
125437	Symm1	6	3	pracsymm2.bmp	symmetric	1	1	0	NA	NA	NA	1.489	0.619	10	
125437	Symm1	6	4	pracsymm6.bmp	symmetric	1	1	0	NA	NA	NA	1.565	0.566	10	
125437	Symm1	6	5	pracsymm10.bmp	nonsymmetric	0	1	0	NA	NA	NA	0.938	0.762	10	
125437	Symm1	6	6	pracsymm15.bmp	nonsymmetric	0	1	0	NA	NA	NA	1.192	0.619	10	
125437	CombPrac1	2	1	pracsymm13.bmp	nonsymmetric	0	1	0	13	9	0	1.53	0.767	10	
125437	CombPrac1	2	2	pracsymm7.bmp	symmetric	1	1	0	1	1	1	2.648	0.713	10	
125437	CombPrac2	3	1	pracsymm14.bmp	nonsymmetric	0	1	0	16	12	0	1.115	0.772	10	
125437	CombPrac2	3	2	pracsymm11.bmp	nonsymmetric	1	0	0	14	14	1	1.267	0.751	10	
125437	CombPrac2	3	3	pracsymm9.bmp	nonsymmetric	0	1	0	3	3	1	1.01	0.565	10	
125437	1	3	1	symm9.bmp	symmetric	1	1	0	8	8	1	1.593	0.721	7.5618098841851165	
125437	1	3	2	symm29.bmp	nonsymmetric	0	1	0	6	6	1	0.884	0.725	7.5618098841851165	
125437	1	3	3	symm43.bmp	nonsymmetric	0	1	0	13	13	1	0.792	0.998	7.5618098841851165	
125437	2	3	1	symm36.bmp	nonsymmetric	0	1	0	6	6	1	0.939	0.772	7.5618098841851165	
125437	2	3	2	symm1.bmp	symmetric	1	1	0	11	11	1	0.947	0.662	7.5618098841851165	
125437	2	3	3	symm12.bmp	symmetric	1	1	0	14	14	1	0.903	0.658	7.5618098841851165	
125437	3	4	1	symm48.bmp	nonsymmetric	0	1	0	3	3	1	0.986	0.664	7.5618098841851165	
125437	3	4	2	symm38.bmp	nonsymmetric	0	1	0	15	15	1	0.844	0.736	7.5618098841851165	
125437	3	4	3	symm7.bmp	symmetric	1	1	0	7	7	1	0.809	0.65	7.5618098841851165	
125437	3	4	4	symm26.bmp	nonsymmetric	0	1	0	5	5	1	1.734	1.097	7.5618098841851165	
125437	4	5	1	symm20.bmp	symmetric	1	1	0	5	4	0	1.301	0.637	7.5618098841851165	
125437	4	5	2	symm19.bmp	symmetric	1	1	0	4	13	0	1.206	0.595	7.5618098841851165	
125437	4	5	3	symm32.bmp	nonsymmetric	0	1	0	13	5	0	0.963	0.679	7.5618098841851165	
125437	4	5	4	symm17.bmp	symmetric	1	1	0	11	11	1	0.876	0.941	7.5618098841851165	
125437	4	5	5	symm44.bmp	nonsymmetric	0	1	0	16	16	1	0.918	0.823	7.5618098841851165	
125437	5	2	1	symm13.bmp	symmetric	1	1	0	2	2	1	1.534	0.619	7.5618098841851165	
125437	5	2	2	symm33.bmp	nonsymmetric	0	1	0	14	14	1	0.714	0.661	7.5618098841851165	
125437	6	2	1	symm5.bmp	symmetric	1	1	0	13	13	1	1.111	0.622	7.5618098841851165	
125437	6	2	2	symm34.bmp	nonsymmetric	0	1	0	4	4	1	0.751	0.593	7.5618098841851165	
125437	7	2	1	symm25.bmp	nonsymmetric	0	1	0	9	9	1	0.86	0.623	7.5618098841851165	
125437	7	2	2	symm4.bmp	symmetric	1	1	0	8	8	1	1.501	0.6	7.5618098841851165	
125437	8	3	1	symm30.bmp	nonsymmetric	0	1	0	11	11	1	0.866	0.604	7.5618098841851165	
125437	8	3	2	symm28.bmp	nonsymmetric	0	1	0	6	6	1	1.181	0.909	7.5618098841851165	
125437	8	3	3	symm47.bmp	nonsymmetric	0	1	0	1	1	1	0.709	0.644	7.5618098841851165	
125437	9	5	1	symm45.bmp	nonsymmetric	0	1	0	3	3	1	0.829	0.672	7.5618098841851165	
125437	9	5	2	symm27.bmp	nonsymmetric	0	1	0	10	10	1	1.283	0.8	7.5618098841851165	
125437	9	5	3	symm16.bmp	symmetric	1	1	0	11	11	1	0.917	0.593	7.5618098841851165	
125437	9	5	4	symm11.bmp	symmetric	1	1	0	8	8	1	0.816	0.583	7.5618098841851165	
125437	9	5	5	symm14.bmp	symmetric	1	1	0	12	12	1	1.153	0.773	7.5618098841851165	
125437	10	5	1	symm3.bmp	symmetric	1	1	0	7	7	1	0.912	0.577	7.5618098841851165	
125437	10	5	2	symm46.bmp	nonsymmetric	0	1	0	2	2	1	0.641	0.59	7.5618098841851165	
125437	10	5	3	symm15.bmp	symmetric	1	1	0	6	6	1	0.673	0.525	7.5618098841851165	
125437	10	5	4	symm10.bmp	symmetric	1	1	0	12	12	1	0.948	0.691	7.5618098841851165	
125437	10	5	5	symm6.bmp	symmetric	1	1	0	15	15	1	0.856	0.618	7.5618098841851165	
125437	11	4	1	symm24.bmp	symmetric	1	1	0	1	1	1	0.851	0.637	7.5618098841851165	
125437	11	4	2	symm23.bmp	symmetric	1	1	0	13	13	1	0.692	0.56	7.5618098841851165	
125437	11	4	3	symm21.bmp	symmetric	1	1	0	15	15	1	0.737	0.58	7.5618098841851165	
125437	11	4	4	symm18.bmp	symmetric	1	1	0	9	11	0	1.501	0.615	7.5618098841851165	
125437	12	4	1	symm31.bmp	nonsymmetric	0	1	0	9	9	1	2.124	0.626	7.5618098841851165	
125437	12	4	2	symm22.bmp	symmetric	1	1	0	10	10	1	1.64	0.993	7.5618098841851165	
125437	12	4	3	symm39.bmp	nonsymmetric	0	1	0	15	15	1	1.025	0.616	7.5618098841851165	
125437	12	4	4	symm8.bmp	symmetric	1	1	0	14	14	1	0.986	0.495	7.5618098841851165	
