SUBJNO	BLOCKNUM	BLOCKSIZE	NUMINBLOCK	TERM1	OP	TERM2	TERM3	ANSWER	PROBE	PROBETYPE	DIFFIC	MATHRESP	MATHACC	TIMEOUT	TBRLETTER	TYPED	RECALLED	MATHTIME	TFTIME	MAXTIME	
165308	Cal	15	1	7	*	7	1	50	50	1	4	1	1	0	-	NA	-1	0.514	2.218	10	
165308	Cal	15	2	6	/	2	-1	2	2	1	1	1	1	0	-	NA	-1	1.453	1.043	10	
165308	Cal	15	3	7	*	9	6	69	61	0	4	0	1	0	-	NA	-1	1.734	1.032	10	
165308	Cal	15	4	1	*	2	6	8	8	1	1	0	0	0	-	NA	-1	0.189	2.36	10	
165308	Cal	15	5	9	/	1	-2	7	13	0	1	0	1	0	-	NA	-1	3.356	0.854	10	
165308	Cal	15	6	1	*	4	1	5	5	1	1	1	1	0	-	NA	-1	0.876	1.423	10	
165308	Cal	15	7	4	*	6	-7	17	12	0	3	0	1	0	-	NA	-1	3.355	0.861	10	
165308	Cal	15	8	6	*	8	1	49	49	1	4	1	1	0	-	NA	-1	1.97	0.93	10	
165308	Cal	15	9	5	*	9	7	52	52	1	4	1	1	0	-	NA	-1	3.434	0.733	10	
165308	Cal	15	10	9	/	9	2	3	3	1	1	1	1	0	-	NA	-1	1.703	0.757	10	
165308	Cal	15	11	4	*	9	-5	31	25	0	3	0	1	0	-	NA	-1	1.266	0.93	10	
165308	Cal	15	12	3	*	5	-4	11	11	1	2	1	1	0	-	NA	-1	2.108	0.7	10	
165308	Cal	15	13	8	/	4	8	10	6	0	1	0	1	0	-	NA	-1	1.579	0.87	10	
165308	Cal	15	14	5	*	8	-4	36	44	0	4	0	1	0	-	NA	-1	3.654	1.631	10	
165308	Cal	15	15	6	*	7	-7	35	44	0	4	0	1	0	-	NA	-1	1.92	1.389	10	
165308	Prac1	2	1	6	/	3	4	6	6	1	1	1	1	0	L	l	1	2.281	1.121	5.413993583203803	
165308	Prac1	2	2	7	*	5	8	43	45	0	3	NA	0	1	H	h	1	5.413993583203803	0	5.413993583203803	
165308	Prac2	3	1	2	*	7	-7	7	5	0	2	0	1	0	T	t	1	1.517	0.827	5.413993583203803	
