SUBN	TRIAL	BLOCK	STUDY.TEST	WORD1	WORD2	POINTS	WORD2RESP	ACC	
144352	1	1	STUDY	biology	temper	5	NA	NA	
144352	2	1	STUDY	seven	ghetto	0	NA	NA	
144352	3	1	STUDY	dip	spray	10	NA	NA	
144352	4	1	STUDY	pork	emperor	0	NA	NA	
144352	5	1	STUDY	town	depart	5	NA	NA	
144352	6	1	STUDY	plant	worm	0	NA	NA	
144352	7	1	STUDY	calf	annoy	5	NA	NA	
144352	8	1	STUDY	bacon	feud	10	NA	NA	
144352	9	1	STUDY	cash	genius	0	NA	NA	
144352	10	1	STUDY	rest	pole	10	NA	NA	
144352	11	1	STUDY	cottage	inform	5	NA	NA	
144352	12	1	STUDY	smother	surgery	10	NA	NA	
144352	13	1	STUDY	twist	produce	10	NA	NA	
144352	14	1	STUDY	bleach	ruin	0	NA	NA	
144352	15	1	STUDY	nose	adverb	10	NA	NA	
144352	16	1	STUDY	veteran	raft	5	NA	NA	
144352	17	1	STUDY	rock	milk	0	NA	NA	
144352	18	1	STUDY	taxi	nag	5	NA	NA	
144352	19	1	STUDY	nerve	bumper	5	NA	NA	
144352	20	1	STUDY	pinch	fact	10	NA	NA	
144352	21	1	STUDY	shrink	mafia	0	NA	NA	
144352	1	1	TEST	smother	surgery	10	surgery	1	
144352	2	1	TEST	calf	annoy	5	agony	0	
144352	3	1	TEST	dip	spray	10	spill	0	
144352	4	1	TEST	twist	produce	10	produce	1	
144352	5	1	TEST	plant	worm	0	skip	0	
144352	6	1	TEST	biology	temper	5	temper	1	
144352	7	1	TEST	seven	ghetto	0	skip	0	
144352	8	1	TEST	nose	adverb	10	adverb	1	
144352	9	1	TEST	cash	genius	0	skip	0	
144352	10	1	TEST	shrink	mafia	0	skip	0	
144352	11	1	TEST	veteran	raft	5	raft	1	
144352	12	1	TEST	pork	emperor	0	skip	0	
144352	13	1	TEST	taxi	nag	5	rag	0	
144352	14	1	TEST	rock	milk	0	milk	1	
144352	15	1	TEST	rest	pole	10	skip	0	
144352	16	1	TEST	pinch	fact	10	fact	1	
144352	17	1	TEST	cottage	inform	5	skip	0	
144352	18	1	TEST	town	depart	5	depart	1	
144352	19	1	TEST	nerve	bumper	5	bumper	1	
144352	20	1	TEST	bleach	ruin	0	ruin	1	
144352	21	1	TEST	bacon	feud	10	skip	0	
144352	1	2	STUDY	tank	dwarf	5	NA	NA	
144352	2	2	STUDY	knock	otter	10	NA	NA	
144352	3	2	STUDY	remind	foam	5	NA	NA	
144352	4	2	STUDY	glue	force	5	NA	NA	
144352	5	2	STUDY	fan	feature	0	NA	NA	
144352	6	2	STUDY	retain	strap	0	NA	NA	
144352	7	2	STUDY	port	cinema	5	NA	NA	
144352	8	2	STUDY	factor	spike	0	NA	NA	
144352	9	2	STUDY	link	crisis	10	NA	NA	
144352	10	2	STUDY	process	joker	0	NA	NA	
144352	11	2	STUDY	chapel	wart	10	NA	NA	
144352	12	2	STUDY	ritual	rope	5	NA	NA	
144352	13	2	STUDY	assist	plaque	10	NA	NA	
144352	14	2	STUDY	cave	senate	10	NA	NA	
144352	15	2	STUDY	rub	boiled	10	NA	NA	
144352	16	2	STUDY	leaf	toad	10	NA	NA	
144352	17	2	STUDY	replace	roach	5	NA	NA	
144352	18	2	STUDY	entry	bowling	5	NA	NA	
144352	19	2	STUDY	crane	fool	0	NA	NA	
144352	20	2	STUDY	wrap	suede	0	NA	NA	
144352	21	2	STUDY	glance	kin	0	NA	NA	
144352	1	2	TEST	tank	dwarf	5	skip	0	
144352	2	2	TEST	fan	feature	0	rope	0	
144352	3	2	TEST	knock	otter	10	oil	0	
144352	4	2	TEST	remind	foam	5	skip	0	
144352	5	2	TEST	crane	fool	0	foil	0	
144352	6	2	TEST	replace	roach	5	rope	0	
144352	7	2	TEST	link	crisis	10	crisis	1	
144352	8	2	TEST	factor	spike	0	spike	1	
144352	9	2	TEST	glance	kin	0	skip	0	
144352	10	2	TEST	cave	senate	10	senate	1	
144352	11	2	TEST	rub	boiled	10	boiling	0	
144352	12	2	TEST	port	cinema	5	skip	0	
144352	13	2	TEST	retain	strap	0	rope	0	
144352	14	2	TEST	ritual	rope	5	rope	1	
144352	15	2	TEST	assist	plaque	10	skip	0	
144352	16	2	TEST	process	joker	0	skip	0	
144352	17	2	TEST	entry	bowling	5	skip	0	
144352	18	2	TEST	glue	force	5	fasten	0	
144352	19	2	TEST	leaf	toad	10	toad	1	
144352	20	2	TEST	chapel	wart	10	skip	0	
144352	21	2	TEST	wrap	suede	0	retain	0	
144352	1	3	STUDY	bias	sirloin	0	NA	NA	
144352	2	3	STUDY	quit	defrost	5	NA	NA	
144352	3	3	STUDY	bunch	bond	5	NA	NA	
144352	4	3	STUDY	gown	nap	5	NA	NA	
