SUBN	TRIAL	BLOCK	STUDY.TEST	WORD1	WORD2	POINTS	WORD2RESP	ACC	
155852	1	1	STUDY	balcony	latin	10	NA	NA	
155852	2	1	STUDY	fail	toaster	5	NA	NA	
155852	3	1	STUDY	storage	stone	5	NA	NA	
155852	4	1	STUDY	closet	indoor	10	NA	NA	
155852	5	1	STUDY	lake	soak	10	NA	NA	
155852	6	1	STUDY	town	depart	5	NA	NA	
155852	7	1	STUDY	toy	casket	0	NA	NA	
155852	8	1	STUDY	glance	kin	0	NA	NA	
155852	9	1	STUDY	copy	bedroom	10	NA	NA	
155852	10	1	STUDY	tank	dwarf	5	NA	NA	
155852	11	1	STUDY	cash	genius	0	NA	NA	
155852	12	1	STUDY	cave	senate	10	NA	NA	
155852	13	1	STUDY	blossom	please	10	NA	NA	
155852	14	1	STUDY	cottage	inform	5	NA	NA	
155852	15	1	STUDY	remind	foam	5	NA	NA	
155852	16	1	STUDY	wrap	suede	0	NA	NA	
155852	17	1	STUDY	fan	feature	0	NA	NA	
155852	18	1	STUDY	flight	grind	10	NA	NA	
155852	19	1	STUDY	forest	knob	0	NA	NA	
155852	20	1	STUDY	chicken	beet	0	NA	NA	
155852	21	1	STUDY	biology	temper	5	NA	NA	
155852	1	1	TEST	balcony	latin	10	skip	0	
155852	2	1	TEST	closet	indoor	10	skip	0	
155852	3	1	TEST	fail	toaster	5	skip	0	
155852	4	1	TEST	toy	casket	0	skip	0	
155852	5	1	TEST	cave	senate	10	bedroom	0	
155852	6	1	TEST	storage	stone	5	skip	0	
155852	7	1	TEST	biology	temper	5	skip	0	
155852	8	1	TEST	copy	bedroom	10	skip	0	
155852	9	1	TEST	tank	dwarf	5	skip	0	
155852	10	1	TEST	fan	feature	0	skip	0	
155852	11	1	TEST	flight	grind	10	skip	0	
155852	12	1	TEST	wrap	suede	0	skip	0	
155852	13	1	TEST	cash	genius	0	skip	0	
155852	14	1	TEST	town	depart	5	skip	0	
155852	15	1	TEST	cottage	inform	5	skip	0	
155852	16	1	TEST	lake	soak	10	skip	0	
155852	17	1	TEST	glance	kin	0	skip	0	
155852	18	1	TEST	forest	knob	0	skip	0	
155852	19	1	TEST	remind	foam	5	skip	0	
155852	20	1	TEST	chicken	beet	0	skip	0	
155852	21	1	TEST	blossom	please	10	skip	0	
155852	1	2	STUDY	highway	push	0	NA	NA	
155852	2	2	STUDY	gown	nap	5	NA	NA	
155852	3	2	STUDY	leaf	toad	10	NA	NA	
155852	4	2	STUDY	dip	spray	10	NA	NA	
155852	5	2	STUDY	glue	force	5	NA	NA	
155852	6	2	STUDY	child	leader	5	NA	NA	
155852	7	2	STUDY	entry	bowling	5	NA	NA	
155852	8	2	STUDY	cattle	jelly	10	NA	NA	
155852	9	2	STUDY	capital	figure	10	NA	NA	
155852	10	2	STUDY	knock	otter	10	NA	NA	
155852	11	2	STUDY	grip	beach	10	NA	NA	
155852	12	2	STUDY	visit	glove	5	NA	NA	
155852	13	2	STUDY	bleach	ruin	0	NA	NA	
155852	14	2	STUDY	process	joker	0	NA	NA	
155852	15	2	STUDY	flask	shiver	0	NA	NA	
155852	16	2	STUDY	fault	elbow	5	NA	NA	
155852	17	2	STUDY	factor	spike	0	NA	NA	
155852	18	2	STUDY	percent	elk	10	NA	NA	
155852	19	2	STUDY	quit	defrost	5	NA	NA	
155852	20	2	STUDY	retain	strap	0	NA	NA	
155852	21	2	STUDY	anger	decay	0	NA	NA	
155852	1	2	TEST	glue	force	5	force	1	
155852	2	2	TEST	process	joker	0	joker	1	
155852	3	2	TEST	highway	push	0	skip	0	
155852	4	2	TEST	flask	shiver	0	skip	0	
155852	5	2	TEST	factor	spike	0	spike	1	
155852	6	2	TEST	dip	spray	10	skip	0	
155852	7	2	TEST	retain	strap	0	skip	0	
155852	8	2	TEST	child	leader	5	skip	0	
155852	9	2	TEST	capital	figure	10	figure	1	
155852	10	2	TEST	fault	elbow	5	skip	0	
155852	11	2	TEST	gown	nap	5	skip	0	
155852	12	2	TEST	percent	elk	10	elk	1	
155852	13	2	TEST	quit	defrost	5	blowing	0	
155852	14	2	TEST	visit	glove	5	skip	0	
155852	15	2	TEST	leaf	toad	10	skip	0	
155852	16	2	TEST	bleach	ruin	0	hurt	0	
155852	17	2	TEST	entry	bowling	5	skip	0	
155852	18	2	TEST	knock	otter	10	otter	1	
155852	19	2	TEST	cattle	jelly	10	skip	0	
155852	20	2	TEST	grip	beach	10	skip	0	
155852	21	2	TEST	anger	decay	0	skip	0	
155852	1	3	STUDY	begin	rubber	0	NA	NA	
155852	2	3	STUDY	crane	fool	0	NA	NA	
155852	3	3	STUDY	rock	milk	0	NA	NA	
155852	4	3	STUDY	date	laugh	10	NA	NA	
