SUBJNO	BLOCKNUM	BLOCKSIZE	NUMINBLOCK	TERM1	OP	TERM2	TERM3	ANSWER	PROBE	PROBETYPE	DIFFIC	MATHRESP	MATHACC	TIMEOUT	TBRLETTER	TYPED	RECALLED	MATHTIME	TFTIME	MAXTIME	
180220	Cal	15	1	7	*	7	-7	42	34	0	4	0	1	0	-	NA	-1	2.923	1.655	10	
180220	Cal	15	2	6	/	2	6	9	6	0	1	0	1	0	-	NA	-1	3.783	1.349	10	
180220	Cal	15	3	7	*	9	1	64	64	1	4	1	1	0	-	NA	-1	1.221	1.255	10	
180220	Cal	15	4	1	*	2	8	10	10	1	1	0	0	0	-	NA	-1	0.103	2.054	10	
180220	Cal	15	5	9	/	1	5	14	13	0	1	0	1	0	-	NA	-1	1.893	0.854	10	
180220	Cal	15	6	1	*	4	-2	2	6	0	1	0	1	0	-	NA	-1	1.625	0.837	10	
180220	Cal	15	7	4	*	6	-1	23	26	0	3	0	1	0	-	NA	-1	1.345	0.883	10	
180220	Cal	15	8	6	*	8	-3	45	45	1	4	1	1	0	-	NA	-1	2.815	1.398	10	
180220	Cal	15	9	5	*	9	-4	41	44	0	4	0	1	0	-	NA	-1	2.267	1.107	10	
180220	Cal	15	10	9	/	9	5	6	6	1	1	1	1	0	-	NA	-1	2.033	1.398	10	
180220	Cal	15	11	4	*	9	2	38	38	1	3	1	1	0	-	NA	-1	1.622	1.317	10	
180220	Cal	15	12	3	*	5	2	17	17	1	2	1	1	0	-	NA	-1	1.265	1.071	10	
180220	Cal	15	13	8	/	4	8	10	5	0	1	0	1	0	-	NA	-1	1.546	1.378	10	
180220	Cal	15	14	5	*	8	-1	39	39	1	4	1	1	0	-	NA	-1	2.081	1.488	10	
180220	Cal	15	15	6	*	7	7	49	40	0	4	0	1	0	-	NA	-1	2.424	1.398	10	
180220	Prac1	2	1	6	/	3	2	4	4	1	1	1	1	0	K	k	1	2.609	1.271	5.486928535304836	
180220	Prac1	2	2	7	*	5	-4	31	35	0	3	0	1	0	Q	q	1	2.032	2.498	5.486928535304836	
180220	Prac2	3	1	2	*	7	6	20	20	1	2	1	1	0	N	n	1	2.045	1.472	5.486928535304836	
180220	Prac2	3	2	2	*	9	7	25	25	1	2	1	1	0	Y	y	1	1.718	1.143	5.486928535304836	
180220	Prac2	3	3	8	*	7	-3	53	48	0	4	0	1	0	Q	q	1	3.012	1.916	5.486928535304836	
180220	3	6	1	1	*	5	-4	1	1	1	1	1	1	0	H	h	1	2.292	1.424	5.486928535304836	
180220	3	6	2	4	*	3	-8	4	11	0	2	0	1	0	P	p	1	2.096	1.728	5.486928535304836	
180220	3	6	3	7	/	7	3	4	9	0	1	0	1	0	R	r	1	2.25	1.447	5.486928535304836	
180220	3	6	4	1	*	9	7	16	16	1	1	1	1	0	K	k	1	1.874	1.368	5.486928535304836	
180220	3	6	5	4	/	4	7	8	7	0	1	0	1	0	F	f	1	2.464	1.603	5.486928535304836	
180220	3	6	6	7	*	4	9	37	37	1	3	1	1	0	N	n	1	3.611	1.412	5.486928535304836	
180220	4	4	1	1	/	1	5	6	10	0	1	0	1	0	Q	-	0	1.828	1.467	5.486928535304836	
180220	4	4	2	2	/	1	-1	1	10	0	1	0	1	0	T	-	0	2.034	1.272	5.486928535304836	
180220	4	4	3	3	/	1	5	8	8	1	1	1	1	0	L	-	0	1.298	1.313	5.486928535304836	
180220	4	4	4	2	*	5	3	13	13	1	2	1	1	0	H	-	0	1.97	1.316	5.486928535304836	
180220	5	3	1	8	*	6	-7	41	41	1	4	1	1	0	K	k	1	4.074	1.222	5.486928535304836	
180220	5	3	2	1	*	8	-4	4	1	0	1	0	1	0	Y	y	1	1.862	1.303	5.486928535304836	
180220	5	3	3	7	*	8	-6	50	48	0	4	0	1	0	H	h	1	3.67	1.129	5.486928535304836	
180220	6	5	1	3	*	7	-4	17	17	1	3	NA	0	1	Q	q	1	5.486928535304836	0	5.486928535304836	
180220	6	5	2	8	/	8	1	2	2	1	1	1	1	0	Y	y	1	1.91	1.143	5.486928535304836	
180220	6	5	3	9	*	5	6	51	51	1	4	1	1	0	N	n	1	3.419	1.146	5.486928535304836	
180220	6	5	4	8	*	9	7	79	74	0	4	0	1	0	R	r	1	2.937	1.22	5.486928535304836	
180220	6	5	5	4	*	5	1	21	24	0	3	0	1	0	F	f	1	1.505	1.449	5.486928535304836	
180220	7	7	1	5	*	7	9	44	50	0	3	0	1	0	N	n	1	3.077	1.24	5.486928535304836	
180220	7	7	2	4	*	4	2	18	14	0	2	0	1	0	T	t	1	1.999	1.148	5.486928535304836	
180220	7	7	3	3	/	3	7	8	8	1	1	1	1	0	S	l	0	1.687	1.493	5.486928535304836	
180220	7	7	4	2	*	4	5	13	17	0	1	0	1	0	L	s	0	2.063	1.286	5.486928535304836	
180220	7	7	5	3	*	6	2	20	20	1	2	1	1	0	H	h	1	3.796	1.621	5.486928535304836	
180220	7	7	6	9	*	7	4	67	59	0	4	1	0	0	R	r	1	0.438	1.64	5.486928535304836	
180220	7	7	7	8	/	1	9	17	17	1	1	0	0	0	K	-	0	1.739	2.679	5.486928535304836	
180220	8	5	1	3	*	3	-4	5	2	0	1	0	1	0	J	j	1	2.856	1.218	5.486928535304836	
180220	8	5	2	6	*	5	-4	26	23	0	3	0	1	0	Y	y	1	2.19	1.177	5.486928535304836	
180220	8	5	3	7	*	3	-7	14	14	1	3	1	1	0	Q	q	1	2.782	1.38	5.486928535304836	
180220	8	5	4	1	*	7	9	16	16	1	1	1	1	0	L	l	1	1.144	1.422	5.486928535304836	
180220	8	5	5	9	*	3	1	28	33	0	3	0	1	0	P	p	1	1.551	1.819	5.486928535304836	
180220	9	4	1	8	*	3	2	26	26	1	3	1	1	0	R	r	1	2.013	1.25	5.486928535304836	
180220	9	4	2	9	*	6	-8	46	46	1	4	1	1	0	K	k	1	3.312	1.536	5.486928535304836	
180220	9	4	3	6	*	2	-5	7	1	0	2	0	1	0	H	h	1	2.374	1.693	5.486928535304836	
180220	9	4	4	8	*	5	-7	33	34	0	4	0	1	0	L	l	1	2.531	1.835	5.486928535304836	
180220	10	3	1	3	*	4	-7	5	7	0	2	0	1	0	F	f	1	2.203	1.378	5.486928535304836	
180220	10	3	2	9	/	3	9	12	12	1	1	1	1	0	L	l	1	1.486	1.413	5.486928535304836	
180220	10	3	3	6	*	4	-3	21	21	1	3	1	1	0	H	h	1	2.186	1.295	5.486928535304836	
180220	11	6	1	4	*	7	-9	19	19	1	3	1	1	0	J	j	1	2.317	1.1	5.486928535304836	
180220	11	6	2	7	/	1	-6	1	1	1	1	1	1	0	F	k	0	2.531	1.22	5.486928535304836	
180220	11	6	3	5	*	3	-1	14	23	0	2	0	1	0	K	f	0	2.219	1.298	5.486928535304836	
180220	11	6	4	8	*	8	-2	62	58	0	4	0	1	0	T	t	1	2.906	1.509	5.486928535304836	
180220	11	6	5	6	*	3	-6	12	20	0	2	NA	0	1	H	h	1	5.486928535304836	0	5.486928535304836	
180220	11	6	6	5	*	5	4	29	29	1	3	1	1	0	L	l	1	1.94	1.625	5.486928535304836	
180220	12	7	1	5	*	6	7	37	37	1	3	1	1	0	J	j	1	1.144	1.208	5.486928535304836	
180220	12	7	2	6	/	1	4	10	13	0	1	0	1	0	K	k	1	1.83	1.254	5.486928535304836	
180220	12	7	3	3	*	2	3	9	1	0	1	0	1	0	R	r	1	1.231	1.213	5.486928535304836	
180220	12	7	4	5	*	4	-3	17	26	0	3	0	1	0	P	p	1	1.856	1.322	5.486928535304836	
180220	12	7	5	8	*	2	3	19	26	0	2	0	1	0	N	n	1	1.486	1.413	5.486928535304836	
180220	12	7	6	4	/	1	4	8	8	1	1	0	0	0	S	s	1	3.094	1.689	5.486928535304836	
180220	12	7	7	6	*	6	-7	29	29	1	3	1	1	0	H	h	1	2.732	1.389	5.486928535304836	
180220	13	6	1	4	*	8	-3	29	29	1	3	0	0	0	N	n	1	1.592	1.139	5.486928535304836	
180220	13	6	2	1	*	3	8	11	7	0	1	0	1	0	Q	q	1	1.748	1.066	5.486928535304836	
180220	13	6	3	2	/	2	1	2	2	1	1	1	1	0	K	k	1	1.467	1.215	5.486928535304836	
180220	13	6	4	2	*	2	7	11	10	0	1	0	1	0	T	t	1	1.084	1.263	5.486928535304836	
180220	13	6	5	5	*	2	5	15	15	1	2	1	1	0	Y	y	1	1.018	1.214	5.486928535304836	
180220	13	6	6	4	*	2	-2	6	4	0	1	0	1	0	S	s	1	1.159	1.957	5.486928535304836	
180220	14	5	1	9	*	2	-4	14	14	1	2	1	1	0	H	h	1	2.408	1.14	5.486928535304836	
180220	14	5	2	1	*	6	4	10	10	1	1	1	1	0	L	k	0	1.409	1.074	5.486928535304836	
180220	14	5	3	4	/	2	7	9	13	0	1	1	0	0	F	n	0	1.999	1.26	5.486928535304836	
180220	14	5	4	7	*	6	-2	40	42	0	4	0	1	0	T	f	0	2.405	2.142	5.486928535304836	
180220	14	5	5	9	*	4	-6	30	28	0	3	1	0	0	N	t	0	1.345	3.139	5.486928535304836	
180220	15	3	1	7	*	2	-5	9	9	1	2	1	1	0	P	p	1	2.002	0.867	5.486928535304836	
180220	15	3	2	8	/	2	-1	3	3	1	1	1	1	0	J	j	1	1.589	1.568	5.486928535304836	
180220	15	3	3	5	/	1	7	12	6	0	1	0	1	0	Y	y	1	1.33	1.202	5.486928535304836	
180220	16	7	1	6	*	9	-9	45	49	0	4	0	1	0	L	l	1	2.234	1.216	5.486928535304836	
180220	16	7	2	3	*	8	-6	18	20	0	3	0	1	0	Q	q	1	1.72	1.146	5.486928535304836	
180220	16	7	3	9	*	9	7	88	88	1	4	1	1	0	F	f	1	1.783	1.85	5.486928535304836	
180220	16	7	4	8	*	4	4	36	38	0	3	1	0	0	N	n	1	1.276	1.616	5.486928535304836	
