Subject	BlockNum	BlockSize	NumInBlock	Image	SymmCorrect	SymmResp	SymmAcc	Timeout	Target	TargetResp	Acc	ViewTime	YNTime	MaxTime	
092426	SqPrac1	2	1	NA	NA	NA	NA	NA	4	4	1	NA	NA	10	
092426	SqPrac1	2	2	NA	NA	NA	NA	NA	12	12	1	NA	NA	10	
092426	SqPrac2	3	1	NA	NA	NA	NA	NA	2	2	1	NA	NA	10	
092426	SqPrac2	3	2	NA	NA	NA	NA	NA	15	15	1	NA	NA	10	
092426	SqPrac2	3	3	NA	NA	NA	NA	NA	3	3	1	NA	NA	10	
092426	Symm1	6	1	pracsymm5.bmp	symmetric	1	1	0	NA	NA	NA	2.006	0.888	10	
092426	Symm1	6	2	pracsymm1.bmp	symmetric	0	0	0	NA	NA	NA	1.681	0.905	10	
092426	Symm1	6	3	pracsymm11.bmp	nonsymmetric	0	1	0	NA	NA	NA	3.639	0.801	10	
092426	Symm1	6	4	pracsymm2.bmp	symmetric	0	0	0	NA	NA	NA	1.59	0.992	10	
092426	Symm1	6	5	pracsymm3.bmp	symmetric	1	1	0	NA	NA	NA	3.157	0.784	10	
092426	Symm1	6	6	pracsymm10.bmp	nonsymmetric	0	1	0	NA	NA	NA	2.878	0.84	10	
092426	CombPrac1	2	1	pracsymm15.bmp	nonsymmetric	0	1	0	6	10	0	2.129	0.753	10	
092426	CombPrac1	2	2	pracsymm7.bmp	symmetric	0	0	0	10	0	0	3.461	1.224	10	
092426	CombPrac2	3	1	pracsymm4.bmp	symmetric	1	1	0	7	7	1	2.587	0.927	10	
092426	CombPrac2	3	2	pracsymm12.bmp	nonsymmetric	0	1	0	5	5	1	3.461	0.696	10	
092426	CombPrac2	3	3	pracsymm8.bmp	nonsymmetric	0	1	0	9	9	1	1.527	0.671	10	
092426	1	2	1	symm42.bmp	nonsymmetric	0	1	0	2	2	1	1.976	1.352	5.511057274431179	
092426	1	2	2	symm26.bmp	nonsymmetric	1	0	0	1	1	1	4.804	1.144	5.511057274431179	
092426	2	4	1	symm39.bmp	nonsymmetric	0	1	0	11	7	0	2.387	0.736	5.511057274431179	
092426	2	4	2	symm29.bmp	nonsymmetric	1	0	0	7	5	0	3.91	1.089	5.511057274431179	
092426	2	4	3	symm47.bmp	nonsymmetric	0	1	0	1	11	0	2.999	0.641	5.511057274431179	
092426	2	4	4	symm45.bmp	nonsymmetric	1	0	0	15	0	0	4.685	0.833	5.511057274431179	
092426	3	3	1	symm48.bmp	nonsymmetric	0	1	0	16	16	1	4.644	0.929	5.511057274431179	
092426	3	3	2	symm30.bmp	nonsymmetric	1	0	0	13	13	1	1.659	0.656	5.511057274431179	
092426	3	3	3	symm33.bmp	nonsymmetric	1	0	0	10	10	1	1.375	0.985	5.511057274431179	
092426	4	4	1	symm1.bmp	symmetric	1	1	0	16	16	1	3.134	0.728	5.511057274431179	
092426	4	4	2	symm38.bmp	nonsymmetric	1	0	0	6	10	0	4.277	0.488	5.511057274431179	
092426	4	4	3	symm31.bmp	nonsymmetric	0	1	0	7	7	1	3.382	1.024	5.511057274431179	
092426	4	4	4	symm21.bmp	symmetric	1	1	0	4	4	1	2.055	0.648	5.511057274431179	
