Subject	BlockNum	BlockSize	NumInBlock	Image	SymmCorrect	SymmResp	SymmAcc	Timeout	Target	TargetResp	Acc	ViewTime	YNTime	MaxTime	
145250	SqPrac1	2	1	NA	NA	NA	NA	NA	11	11	1	NA	NA	10	
145250	SqPrac1	2	2	NA	NA	NA	NA	NA	1	1	1	NA	NA	10	
145250	SqPrac2	3	1	NA	NA	NA	NA	NA	2	2	1	NA	NA	10	
145250	SqPrac2	3	2	NA	NA	NA	NA	NA	16	16	1	NA	NA	10	
145250	SqPrac2	3	3	NA	NA	NA	NA	NA	7	11	0	NA	NA	10	
145250	Symm1	6	1	pracsymm9.bmp	nonsymmetric	0	1	0	NA	NA	NA	1.92	1.309	10	
145250	Symm1	6	2	pracsymm1.bmp	symmetric	1	1	0	NA	NA	NA	1.156	0.858	10	
145250	Symm1	6	3	pracsymm7.bmp	symmetric	1	1	0	NA	NA	NA	1.079	0.834	10	
145250	Symm1	6	4	pracsymm13.bmp	nonsymmetric	0	1	0	NA	NA	NA	3.482	0.952	10	
145250	Symm1	6	5	pracsymm10.bmp	nonsymmetric	0	1	0	NA	NA	NA	2.912	0.914	10	
145250	Symm1	6	6	pracsymm14.bmp	nonsymmetric	0	1	0	NA	NA	NA	1.671	0.727	10	
145250	CombPrac1	2	1	pracsymm5.bmp	symmetric	0	0	0	6	6	1	1.188	1.575	10	
145250	CombPrac1	2	2	pracsymm12.bmp	nonsymmetric	1	0	0	8	8	1	2.102	0.856	10	
145250	CombPrac2	3	1	pracsymm15.bmp	nonsymmetric	1	0	0	15	16	0	1.448	0.872	10	
145250	CombPrac2	3	2	pracsymm3.bmp	symmetric	1	1	0	6	7	0	1.25	0.764	10	
145250	CombPrac2	3	3	pracsymm11.bmp	nonsymmetric	1	0	0	13	3	0	2.662	0.676	10	
145250	1	5	1	symm27.bmp	nonsymmetric	0	1	0	8	12	0	1.72	1.581	4.87135432017139	
145250	1	5	2	symm39.bmp	nonsymmetric	0	1	0	14	2	0	1.946	2.113	4.87135432017139	
145250	1	5	3	symm30.bmp	nonsymmetric	0	1	0	1	13	0	1.143	0.823	4.87135432017139	
145250	1	5	4	symm34.bmp	nonsymmetric	0	1	0	16	16	1	0.861	0.986	4.87135432017139	
145250	1	5	5	symm3.bmp	symmetric	1	1	0	13	0	0	1.82	1.3	4.87135432017139	
145250	2	3	1	symm18.bmp	symmetric	1	1	0	5	5	1	1.954	1.043	4.87135432017139	
145250	2	3	2	symm29.bmp	nonsymmetric	0	1	0	4	4	1	2.43	1.193	4.87135432017139	
145250	2	3	3	symm31.bmp	nonsymmetric	0	1	0	13	13	1	1.968	1.344	4.87135432017139	
145250	3	3	1	symm26.bmp	nonsymmetric	1	0	0	5	5	1	2.81	0.772	4.87135432017139	
145250	3	3	2	symm24.bmp	symmetric	1	1	0	11	16	0	0.943	1.303	4.87135432017139	
145250	3	3	3	symm36.bmp	nonsymmetric	0	1	0	6	6	1	1.603	0.889	4.87135432017139	
145250	4	5	1	symm47.bmp	nonsymmetric	0	1	0	15	15	1	1.08	0.804	4.87135432017139	
145250	4	5	2	symm23.bmp	symmetric	1	1	0	3	3	1	1.574	1.167	4.87135432017139	
145250	4	5	3	symm22.bmp	symmetric	1	1	0	10	10	1	1.735	0.68	4.87135432017139	
145250	4	5	4	symm41.bmp	nonsymmetric	0	1	0	14	14	1	1.291	3.051	4.87135432017139	
145250	4	5	5	symm42.bmp	nonsymmetric	0	1	0	9	9	1	4.227	0.898	4.87135432017139	
145250	5	5	1	symm45.bmp	nonsymmetric	0	1	0	6	1	0	1.594	0.74	4.87135432017139	
145250	5	5	2	symm1.bmp	symmetric	1	1	0	16	16	1	1.213	1.344	4.87135432017139	
145250	5	5	3	symm7.bmp	symmetric	1	1	0	12	12	1	1.219	1.129	4.87135432017139	
145250	5	5	4	symm15.bmp	symmetric	1	1	0	14	14	1	2.365	0.737	4.87135432017139	
145250	5	5	5	symm2.bmp	symmetric	1	1	0	10	10	1	2.141	0.857	4.87135432017139	
145250	6	4	1	symm46.bmp	nonsymmetric	0	1	0	2	6	0	3.017	0.967	4.87135432017139	
145250	6	4	2	symm8.bmp	symmetric	1	1	0	10	2	0	1.479	1.078	4.87135432017139	
145250	6	4	3	symm44.bmp	nonsymmetric	0	1	0	5	9	0	1.495	1.543	4.87135432017139	
145250	6	4	4	symm38.bmp	nonsymmetric	0	1	0	4	4	1	0.948	1.04	4.87135432017139	
145250	7	4	1	symm25.bmp	nonsymmetric	0	1	0	16	16	1	1.801	0.79	4.87135432017139	
145250	7	4	2	symm19.bmp	symmetric	1	1	0	9	9	1	1.802	0.805	4.87135432017139	
145250	7	4	3	symm43.bmp	nonsymmetric	0	1	0	12	12	1	1.873	1.782	4.87135432017139	
145250	7	4	4	symm10.bmp	symmetric	1	1	0	10	10	1	1.168	0.692	4.87135432017139	
145250	8	3	1	symm21.bmp	symmetric	1	1	0	7	16	0	1.406	1.274	4.87135432017139	
145250	8	3	2	symm17.bmp	symmetric	1	1	0	6	6	1	0.946	0.721	4.87135432017139	
145250	8	3	3	symm9.bmp	symmetric	1	1	0	13	7	0	0.684	0.674	4.87135432017139	
145250	9	4	1	symm35.bmp	nonsymmetric	0	1	0	4	4	1	1.999	1.447	4.87135432017139	
145250	9	4	2	symm28.bmp	nonsymmetric	0	1	0	15	12	0	1.333	0.841	4.87135432017139	
145250	9	4	3	symm16.bmp	symmetric	1	1	0	10	undefined	0	1.844	1.152	4.87135432017139	
145250	9	4	4	symm5.bmp	symmetric	1	1	0	9	13	0	1.711	2.081	4.87135432017139	
145250	10	2	1	symm14.bmp	symmetric	1	1	0	3	3	1	1.847	0.686	4.87135432017139	
145250	10	2	2	symm48.bmp	nonsymmetric	1	0	0	4	4	1	1.214	0.684	4.87135432017139	
145250	11	2	1	symm6.bmp	symmetric	1	1	0	8	8	1	1.15	0.748	4.87135432017139	
145250	11	2	2	symm33.bmp	nonsymmetric	0	1	0	13	13	1	1.018	1.019	4.87135432017139	
145250	12	2	1	symm20.bmp	symmetric	1	1	0	8	8	1	1.553	1.464	4.87135432017139	
145250	12	2	2	symm12.bmp	symmetric	1	1	0	11	11	1	0.933	0.636	4.87135432017139	
