SUBN	TRIAL	STUDY.TEST	WORD1	WORD2	POINTS	WORD2RESP	ACC	
135730	1	STUDY	support	love	0	NA	NA	
135730	2	STUDY	tale	end	5	NA	NA	
135730	3	STUDY	bath	house	5	NA	NA	
135730	4	STUDY	grave	bad	10	NA	NA	
135730	5	STUDY	damp	stink	0	NA	NA	
135730	6	STUDY	paint	smell	0	NA	NA	
135730	7	STUDY	shop	keeper	5	NA	NA	
135730	8	STUDY	crowd	big	10	NA	NA	
135730	9	STUDY	contact	apart	5	NA	NA	
135730	10	STUDY	collar	blouse	0	NA	NA	
135730	11	STUDY	defeat	battle	5	NA	NA	
135730	12	STUDY	barrel	drum	5	NA	NA	
135730	13	STUDY	dawn	night	0	NA	NA	
135730	14	STUDY	stare	rude	5	NA	NA	
135730	15	STUDY	artist	picture	0	NA	NA	
135730	16	STUDY	piano	man	10	NA	NA	
135730	17	STUDY	demand	take	5	NA	NA	
135730	18	STUDY	tumble	mat	10	NA	NA	
135730	19	STUDY	coast	float	10	NA	NA	
135730	20	STUDY	throw	move	5	NA	NA	
135730	21	STUDY	vacate	evacuate	0	NA	NA	
135730	22	STUDY	build	add	0	NA	NA	
135730	23	STUDY	stay	home	10	NA	NA	
135730	24	STUDY	grow	rise	0	NA	NA	
135730	25	STUDY	coin	bill	0	NA	NA	
135730	26	STUDY	beat	blend	10	NA	NA	
135730	27	STUDY	curve	girl	10	NA	NA	
135730	28	STUDY	snake	ugly	10	NA	NA	
135730	29	STUDY	grove	group	0	NA	NA	
135730	30	STUDY	maid	honor	5	NA	NA	
135730	31	STUDY	search	lost	0	NA	NA	
135730	32	STUDY	taboo	norm	0	NA	NA	
135730	33	STUDY	spool	pool	0	NA	NA	
135730	34	STUDY	marry	family	5	NA	NA	
135730	35	STUDY	cost	lot	5	NA	NA	
135730	36	STUDY	mask	scuba	10	NA	NA	
135730	37	STUDY	party	friend	5	NA	NA	
135730	38	STUDY	saint	priest	0	NA	NA	
135730	39	STUDY	choose	freedom	5	NA	NA	
135730	40	STUDY	dizzy	confuse	10	NA	NA	
135730	41	STUDY	stalk	kill	5	NA	NA	
135730	42	STUDY	sleeve	jacket	10	NA	NA	
135730	43	STUDY	chief	major	5	NA	NA	
135730	44	STUDY	math	test	0	NA	NA	
135730	45	STUDY	peel	apple	5	NA	NA	
135730	46	STUDY	bead	rain	10	NA	NA	
135730	47	STUDY	space	black	0	NA	NA	
135730	48	STUDY	tomato	hot	10	NA	NA	
135730	49	STUDY	shame	abuse	5	NA	NA	
135730	50	STUDY	pig	dirt	10	NA	NA	
135730	51	STUDY	beer	taste	0	NA	NA	
135730	52	STUDY	circus	lion	10	NA	NA	
135730	53	STUDY	marsh	field	10	NA	NA	
135730	54	STUDY	student	stress	10	NA	NA	
135730	1	TEST	marsh	field	10	field	1	
135730	2	TEST	grow	rise	0	skip	0	
135730	3	TEST	artist	picture	0	skip	0	
135730	4	TEST	math	test	0	skip	0	
135730	5	TEST	build	add	0	skip	0	
135730	6	TEST	barrel	drum	5	water	0	
135730	7	TEST	collar	blouse	0	skip	0	
135730	8	TEST	throw	move	5	skip	0	
135730	9	TEST	stay	home	10	skip	0	
135730	10	TEST	space	black	0	skip	0	
135730	11	TEST	grove	group	0	marsh	0	
135730	12	TEST	mask	scuba	10	cape	0	
135730	13	TEST	search	lost	0	skip	0	
135730	14	TEST	pig	dirt	10	dirt	1	
135730	15	TEST	defeat	battle	5	battle	1	
135730	16	TEST	stare	rude	5	look	0	
135730	17	TEST	peel	apple	5	apple	1	
135730	18	TEST	snake	ugly	10	ugly	1	
135730	19	TEST	support	love	0	skip	0	
135730	20	TEST	choose	freedom	5	skip	0	
135730	21	TEST	piano	man	10	man	1	
135730	22	TEST	tumble	mat	10	fall	0	
135730	23	TEST	paint	smell	0	skip	0	
135730	24	TEST	coin	bill	0	currency	0	
135730	25	TEST	beer	taste	0	taste	1	
135730	26	TEST	crowd	big	10	mob	0	
135730	27	TEST	chief	major	5	major	1	
135730	28	TEST	party	friend	5	skip	0	
135730	29	TEST	tale	end	5	end	1	
135730	30	TEST	marry	family	5	skip	0	
135730	31	TEST	student	stress	10	stress	1	
135730	32	TEST	damp	stink	0	skip	0	
135730	33	TEST	curve	girl	10	girl	1	
135730	34	TEST	coast	float	10	skip	0	
135730	35	TEST	dawn	night	0	dkip	0	
135730	36	TEST	circus	lion	10	lion	1	
135730	37	TEST	taboo	norm	0	skip	0	
135730	38	TEST	beat	blend	10	whip	0	
135730	39	TEST	dizzy	confuse	10	skip	0	
135730	40	TEST	bath	house	5	house	1	
135730	41	TEST	maid	honor	5	honor	1	
135730	42	TEST	shop	keeper	5	keeper	1	
135730	43	TEST	grave	bad	10	bad	1	
135730	44	TEST	shame	abuse	5	skip	0	
135730	45	TEST	saint	priest	0	skip	0	
135730	46	TEST	stalk	kill	5	creepy	0	
135730	47	TEST	contact	apart	5	skip	0	
135730	48	TEST	bead	rain	10	rain	1	
135730	49	TEST	demand	take	5	skip	0	
135730	50	TEST	tomato	hot	10	hot	1	
135730	51	TEST	cost	lot	5	coin	0	
135730	52	TEST	vacate	evacuate	0	skip	0	
135730	53	TEST	spool	pool	0	skip	0	
135730	54	TEST	sleeve	jacket	10	shirt	0	
