Subject	BlockNum	BlockSize	NumInBlock	Image	SymmCorrect	SymmResp	SymmAcc	Timeout	Target	TargetResp	Acc	ViewTime	YNTime	MaxTime	
145532	SqPrac1	2	1	NA	NA	NA	NA	NA	9	9	1	NA	NA	10	
145532	SqPrac1	2	2	NA	NA	NA	NA	NA	14	14	1	NA	NA	10	
145532	SqPrac2	3	1	NA	NA	NA	NA	NA	9	9	1	NA	NA	10	
145532	SqPrac2	3	2	NA	NA	NA	NA	NA	15	14	0	NA	NA	10	
145532	SqPrac2	3	3	NA	NA	NA	NA	NA	4	8	0	NA	NA	10	
145532	Symm1	6	1	pracsymm12.bmp	nonsymmetric	1	0	0	NA	NA	NA	2.42	1.293	10	
145532	Symm1	6	2	pracsymm15.bmp	nonsymmetric	0	1	0	NA	NA	NA	6.631	1.08	10	
145532	Symm1	6	3	pracsymm9.bmp	nonsymmetric	0	1	0	NA	NA	NA	2.808	0.952	10	
145532	Symm1	6	4	pracsymm7.bmp	symmetric	1	1	0	NA	NA	NA	8.069	1.161	10	
145532	Symm1	6	5	pracsymm3.bmp	symmetric	1	1	0	NA	NA	NA	4.917	0.963	10	
145532	Symm1	6	6	pracsymm11.bmp	nonsymmetric	0	1	0	NA	NA	NA	4.339	1.322	10	
145532	CombPrac1	2	1	pracsymm8.bmp	nonsymmetric	0	1	0	8	8	1	2.876	1.543	10	
145532	CombPrac1	2	2	pracsymm6.bmp	symmetric	1	1	0	16	16	1	3.338	1.208	10	
145532	CombPrac2	3	1	pracsymm13.bmp	nonsymmetric	0	1	0	9	5	0	4.354	1.193	10	
145532	CombPrac2	3	2	pracsymm1.bmp	symmetric	1	1	0	11	14	0	2.944	1.325	10	
145532	CombPrac2	3	3	pracsymm14.bmp	nonsymmetric	0	1	0	15	15	1	2.399	0.955	10	
145532	1	3	1	symm39.bmp	nonsymmetric	0	1	0	9	9	1	2.592	1.336	9.813172936735128	
145532	1	3	2	symm47.bmp	nonsymmetric	0	1	0	3	2	0	3.56	0.888	9.813172936735128	
145532	1	3	3	symm19.bmp	symmetric	1	1	0	12	12	1	1.875	1.2	9.813172936735128	
145532	2	3	1	symm8.bmp	symmetric	0	0	0	6	5	0	1.721	1.078	9.813172936735128	
145532	2	3	2	symm26.bmp	nonsymmetric	0	1	0	14	14	1	3.038	1.266	9.813172936735128	
145532	2	3	3	symm13.bmp	symmetric	1	1	0	13	13	1	2.985	0.881	9.813172936735128	
145532	3	2	1	symm46.bmp	nonsymmetric	0	1	0	5	5	1	1.515	1.265	9.813172936735128	
145532	3	2	2	symm14.bmp	symmetric	1	1	0	8	8	1	4.136	1.111	9.813172936735128	
145532	4	4	1	symm33.bmp	nonsymmetric	0	1	0	4	4	1	4.542	1.119	9.813172936735128	
145532	4	4	2	symm41.bmp	nonsymmetric	0	1	0	12	12	1	2.976	0.965	9.813172936735128	
145532	4	4	3	symm36.bmp	nonsymmetric	0	1	0	3	3	1	4.085	1.491	9.813172936735128	
145532	4	4	4	symm28.bmp	nonsymmetric	0	1	0	1	1	1	3.044	1.119	9.813172936735128	
145532	5	5	1	symm30.bmp	nonsymmetric	1	0	0	14	14	1	2.217	1.364	9.813172936735128	
145532	5	5	2	symm25.bmp	nonsymmetric	1	0	0	1	1	1	2.173	1.226	9.813172936735128	
145532	5	5	3	symm37.bmp	nonsymmetric	0	1	0	6	6	1	3.257	0.803	9.813172936735128	
145532	5	5	4	symm18.bmp	symmetric	1	1	0	7	11	0	3.194	0.747	9.813172936735128	
145532	5	5	5	symm7.bmp	symmetric	1	1	0	12	16	0	3.694	0.929	9.813172936735128	
145532	6	5	1	symm1.bmp	symmetric	1	1	0	14	14	1	2.107	0.821	9.813172936735128	
145532	6	5	2	symm32.bmp	nonsymmetric	0	1	0	10	10	1	5.338	1.544	9.813172936735128	
145532	6	5	3	symm9.bmp	symmetric	1	1	0	2	2	1	2.571	1.073	9.813172936735128	
145532	6	5	4	symm40.bmp	nonsymmetric	0	1	0	8	8	1	7.111	1.264	9.813172936735128	
145532	6	5	5	symm23.bmp	symmetric	1	1	0	7	7	1	1.484	1.148	9.813172936735128	
145532	7	4	1	symm11.bmp	symmetric	0	0	0	14	14	1	1.437	1.411	9.813172936735128	
145532	7	4	2	symm5.bmp	symmetric	0	0	0	3	3	1	1.182	3.09	9.813172936735128	
145532	7	4	3	symm27.bmp	nonsymmetric	0	1	0	7	7	1	5.836	1.311	9.813172936735128	
145532	7	4	4	symm17.bmp	symmetric	1	1	0	10	6	0	2.158	0.908	9.813172936735128	
145532	8	2	1	symm16.bmp	symmetric	1	1	0	10	10	1	2.388	1.336	9.813172936735128	
145532	8	2	2	symm2.bmp	symmetric	1	1	0	11	11	1	4.927	1.18	9.813172936735128	
145532	9	2	1	symm35.bmp	nonsymmetric	0	1	0	6	6	1	2.296	1.135	9.813172936735128	
145532	9	2	2	symm4.bmp	symmetric	0	0	0	8	8	1	1.187	2.107	9.813172936735128	
145532	10	3	1	symm45.bmp	nonsymmetric	0	1	0	11	11	1	2.031	1.301	9.813172936735128	
145532	10	3	2	symm29.bmp	nonsymmetric	0	1	0	10	10	1	2.345	0.971	9.813172936735128	
