SUBN	TRIAL	STUDY.TEST	WORD1	WORD2	POINTS	WORD2RESP	ACC	
150823	1	STUDY	saint	priest	0	NA	NA	
150823	2	STUDY	marry	family	5	NA	NA	
150823	3	STUDY	chief	major	5	NA	NA	
150823	4	STUDY	defeat	battle	5	NA	NA	
150823	5	STUDY	coin	bill	0	NA	NA	
150823	6	STUDY	snake	ugly	10	NA	NA	
150823	7	STUDY	spool	pool	0	NA	NA	
150823	8	STUDY	support	love	0	NA	NA	
150823	9	STUDY	grow	rise	0	NA	NA	
150823	10	STUDY	shame	abuse	5	NA	NA	
150823	11	STUDY	taboo	norm	0	NA	NA	
150823	12	STUDY	contact	apart	5	NA	NA	
150823	13	STUDY	math	test	0	NA	NA	
150823	14	STUDY	paint	smell	0	NA	NA	
150823	15	STUDY	grave	bad	10	NA	NA	
150823	16	STUDY	maid	honor	5	NA	NA	
150823	17	STUDY	barrel	drum	5	NA	NA	
150823	18	STUDY	tomato	hot	10	NA	NA	
150823	19	STUDY	mask	scuba	10	NA	NA	
150823	20	STUDY	choose	freedom	5	NA	NA	
150823	21	STUDY	demand	take	5	NA	NA	
150823	22	STUDY	space	black	0	NA	NA	
150823	23	STUDY	sleeve	jacket	10	NA	NA	
150823	24	STUDY	circus	lion	10	NA	NA	
150823	25	STUDY	bead	rain	10	NA	NA	
150823	26	STUDY	shop	keeper	5	NA	NA	
150823	27	STUDY	coast	float	10	NA	NA	
150823	28	STUDY	dizzy	confuse	10	NA	NA	
150823	29	STUDY	tale	end	5	NA	NA	
150823	30	STUDY	student	stress	10	NA	NA	
150823	31	STUDY	stay	home	10	NA	NA	
150823	32	STUDY	stare	rude	5	NA	NA	
150823	33	STUDY	stalk	kill	5	NA	NA	
150823	34	STUDY	pig	dirt	10	NA	NA	
150823	35	STUDY	piano	man	10	NA	NA	
150823	36	STUDY	damp	stink	0	NA	NA	
150823	37	STUDY	cost	lot	5	NA	NA	
150823	38	STUDY	dawn	night	0	NA	NA	
150823	39	STUDY	grove	group	0	NA	NA	
150823	40	STUDY	throw	move	5	NA	NA	
150823	41	STUDY	curve	girl	10	NA	NA	
150823	42	STUDY	search	lost	0	NA	NA	
150823	43	STUDY	beat	blend	10	NA	NA	
150823	44	STUDY	party	friend	5	NA	NA	
150823	45	STUDY	bath	house	5	NA	NA	
150823	46	STUDY	beer	taste	0	NA	NA	
150823	47	STUDY	artist	picture	0	NA	NA	
150823	48	STUDY	build	add	0	NA	NA	
150823	49	STUDY	vacate	evacuate	0	NA	NA	
150823	50	STUDY	crowd	big	10	NA	NA	
150823	51	STUDY	marsh	field	10	NA	NA	
150823	52	STUDY	collar	blouse	0	NA	NA	
150823	53	STUDY	tumble	mat	10	NA	NA	
150823	54	STUDY	peel	apple	5	NA	NA	
150823	1	TEST	dawn	night	0	day	0	
150823	2	TEST	taboo	norm	0	bad	0	
150823	3	TEST	artist	picture	0	paint	0	
150823	4	TEST	collar	blouse	0	bone	0	
150823	5	TEST	build	add	0	carpenter	0	
150823	6	TEST	tale	end	5	end	1	
150823	7	TEST	bath	house	5	tub	0	
150823	8	TEST	defeat	battle	5	battle	1	
150823	9	TEST	piano	man	10	man	1	
150823	10	TEST	tumble	mat	10	mat	1	
150823	11	TEST	grove	group	0	meadeaw	0	
150823	12	TEST	barrel	drum	5	roll	0	
150823	13	TEST	contact	apart	5	nope	0	
150823	14	TEST	dizzy	confuse	10	confused	0	
150823	15	TEST	spool	pool	0	pool	1	
150823	16	TEST	demand	take	5	task	0	
150823	17	TEST	vacate	evacuate	0	premisis	0	
150823	18	TEST	choose	freedom	5	obama	0	
150823	19	TEST	grave	bad	10	bad	1	
150823	20	TEST	search	lost	0	nope	0	
150823	21	TEST	crowd	big	10	big	1	
150823	22	TEST	coast	float	10	float	1	
150823	23	TEST	stalk	kill	5	kill	1	
150823	24	TEST	marry	family	5	family	1	
150823	25	TEST	circus	lion	10	lion	1	
150823	26	TEST	saint	priest	0	priest	1	
150823	27	TEST	space	black	0	recency	0	
150823	28	TEST	grow	rise	0	primacy	0	
150823	29	TEST	curve	girl	10	girl	1	
150823	30	TEST	throw	move	5	nope	0	
150823	31	TEST	sleeve	jacket	10	shirt	0	
150823	32	TEST	support	love	0	fine	0	
150823	33	TEST	beer	taste	0	taste	1	
150823	34	TEST	marsh	field	10	meadew	0	
150823	35	TEST	snake	ugly	10	ugly	1	
150823	36	TEST	party	friend	5	drink	0	
150823	37	TEST	paint	smell	0	idk	0	
150823	38	TEST	chief	major	5	mayor	0	
150823	39	TEST	damp	stink	0	meadew	0	
150823	40	TEST	math	test	0	calc is hard	0	
150823	41	TEST	beat	blend	10	box	0	
150823	42	TEST	coin	bill	0	dollar	0	
150823	43	TEST	tomato	hot	10	basil	0	
150823	44	TEST	maid	honor	5	clean	0	
150823	45	TEST	mask	scuba	10	i feel like shit	0	
150823	46	TEST	pig	dirt	10	nope	0	
150823	47	TEST	stay	home	10	home	1	
150823	48	TEST	peel	apple	5	apple	1	
150823	49	TEST	stare	rude	5	nope	0	
150823	50	TEST	shame	abuse	5	abuse	1	
150823	51	TEST	bead	rain	10	string	0	
150823	52	TEST	shop	keeper	5	idk	0	
150823	53	TEST	student	stress	10	idk	0	
150823	54	TEST	cost	lot	5	idk	0	
