SUBN	TRIAL	STUDY.TEST	WORD1	WORD2	POINTS	WORD2RESP	ACC	
135932	1	STUDY	stalk	kill	5	NA	NA	
135932	2	STUDY	vacate	evacuate	0	NA	NA	
135932	3	STUDY	tumble	mat	10	NA	NA	
135932	4	STUDY	chief	major	5	NA	NA	
135932	5	STUDY	crowd	big	10	NA	NA	
135932	6	STUDY	shame	abuse	5	NA	NA	
135932	7	STUDY	marsh	field	10	NA	NA	
135932	8	STUDY	bead	rain	10	NA	NA	
135932	9	STUDY	contact	apart	5	NA	NA	
135932	10	STUDY	stay	home	10	NA	NA	
135932	11	STUDY	support	love	0	NA	NA	
135932	12	STUDY	tomato	hot	10	NA	NA	
135932	13	STUDY	beer	taste	0	NA	NA	
135932	14	STUDY	saint	priest	0	NA	NA	
135932	15	STUDY	tale	end	5	NA	NA	
135932	16	STUDY	grave	bad	10	NA	NA	
135932	17	STUDY	collar	blouse	0	NA	NA	
135932	18	STUDY	sleeve	jacket	10	NA	NA	
135932	19	STUDY	barrel	drum	5	NA	NA	
135932	20	STUDY	dawn	night	0	NA	NA	
135932	21	STUDY	taboo	norm	0	NA	NA	
135932	22	STUDY	throw	move	5	NA	NA	
135932	23	STUDY	peel	apple	5	NA	NA	
135932	24	STUDY	damp	stink	0	NA	NA	
135932	25	STUDY	demand	take	5	NA	NA	
135932	26	STUDY	build	add	0	NA	NA	
135932	27	STUDY	mask	scuba	10	NA	NA	
135932	28	STUDY	shop	keeper	5	NA	NA	
135932	29	STUDY	cost	lot	5	NA	NA	
135932	30	STUDY	curve	girl	10	NA	NA	
135932	31	STUDY	stare	rude	5	NA	NA	
135932	32	STUDY	choose	freedom	5	NA	NA	
135932	33	STUDY	student	stress	10	NA	NA	
135932	34	STUDY	defeat	battle	5	NA	NA	
135932	35	STUDY	grow	rise	0	NA	NA	
135932	36	STUDY	grove	group	0	NA	NA	
135932	37	STUDY	snake	ugly	10	NA	NA	
135932	38	STUDY	bath	house	5	NA	NA	
135932	39	STUDY	dizzy	confuse	10	NA	NA	
135932	40	STUDY	marry	family	5	NA	NA	
135932	41	STUDY	spool	pool	0	NA	NA	
135932	42	STUDY	math	test	0	NA	NA	
135932	43	STUDY	search	lost	0	NA	NA	
135932	44	STUDY	party	friend	5	NA	NA	
135932	45	STUDY	maid	honor	5	NA	NA	
135932	46	STUDY	space	black	0	NA	NA	
135932	47	STUDY	piano	man	10	NA	NA	
135932	48	STUDY	artist	picture	0	NA	NA	
135932	49	STUDY	coast	float	10	NA	NA	
135932	50	STUDY	coin	bill	0	NA	NA	
135932	51	STUDY	paint	smell	0	NA	NA	
135932	52	STUDY	beat	blend	10	NA	NA	
135932	53	STUDY	pig	dirt	10	NA	NA	
135932	54	STUDY	circus	lion	10	NA	NA	
135932	1	TEST	grow	rise	0	rise	1	
135932	2	TEST	snake	ugly	10	gross	0	
135932	3	TEST	dawn	night	0	dusk	0	
135932	4	TEST	collar	blouse	0	blouse	1	
135932	5	TEST	stare	rude	5	rude	1	
135932	6	TEST	tomato	hot	10	hot	1	
135932	7	TEST	peel	apple	5	apple	1	
135932	8	TEST	choose	freedom	5	home	0	
135932	9	TEST	tumble	mat	10	fall	0	
135932	10	TEST	tale	end	5	chase	0	
135932	11	TEST	defeat	battle	5	battle	1	
135932	12	TEST	stay	home	10	home	1	
135932	13	TEST	marry	family	5	family	1	
135932	14	TEST	bath	house	5	house	1	
135932	15	TEST	saint	priest	0	priest	1	
135932	16	TEST	piano	man	10	man	1	
135932	17	TEST	marsh	field	10	field	1	
135932	18	TEST	grave	bad	10	bad	1	
135932	19	TEST	support	love	0	love	1	
135932	20	TEST	bead	rain	10	water	0	
135932	21	TEST	space	black	0	jam	0	
135932	22	TEST	shame	abuse	5	sad	0	
135932	23	TEST	stalk	kill	5	kill	1	
135932	24	TEST	dizzy	confuse	10	tired	0	
135932	25	TEST	throw	move	5	catch	0	
135932	26	TEST	math	test	0	test	1	
135932	27	TEST	maid	honor	5	honor	1	
135932	28	TEST	search	lost	0	lost	1	
135932	29	TEST	coast	float	10	water	0	
135932	30	TEST	cost	lot	5	lot	1	
135932	31	TEST	taboo	norm	0	find	0	
135932	32	TEST	damp	stink	0	smell	0	
135932	33	TEST	vacate	evacuate	0	evacate	0	
135932	34	TEST	artist	picture	0	painter	0	
135932	35	TEST	shop	keeper	5	keeper	1	
135932	36	TEST	mask	scuba	10	face	0	
135932	37	TEST	grove	group	0	house	0	
135932	38	TEST	beer	taste	0	taste	1	
135932	39	TEST	spool	pool	0	spoon	0	
135932	40	TEST	barrel	drum	5	bucket	0	
135932	41	TEST	contact	apart	5	apart	1	
135932	42	TEST	party	friend	5	friends	0	
135932	43	TEST	chief	major	5	spoon	0	
135932	44	TEST	build	add	0	create	0	
135932	45	TEST	crowd	big	10	big	1	
135932	46	TEST	pig	dirt	10	dirt	1	
135932	47	TEST	demand	take	5	take	1	
135932	48	TEST	sleeve	jacket	10	arm	0	
135932	49	TEST	beat	blend	10	take	0	
135932	50	TEST	curve	girl	10	circle	0	
135932	51	TEST	paint	smell	0	blue	0	
135932	52	TEST	student	stress	10	stress	1	
135932	53	TEST	circus	lion	10	lion	1	
135932	54	TEST	coin	bill	0	dollar	0	
