SUBN	TRIAL	STUDY.TEST	WORD1	WORD2	POINTS	WORD2RESP	ACC	
155533	1	STUDY	tomato	hot	10	NA	NA	
155533	2	STUDY	piano	man	10	NA	NA	
155533	3	STUDY	coin	bill	0	NA	NA	
155533	4	STUDY	coast	float	10	NA	NA	
155533	5	STUDY	collar	blouse	0	NA	NA	
155533	6	STUDY	mask	scuba	10	NA	NA	
155533	7	STUDY	barrel	drum	5	NA	NA	
155533	8	STUDY	cost	lot	5	NA	NA	
155533	9	STUDY	search	lost	0	NA	NA	
155533	10	STUDY	snake	ugly	10	NA	NA	
155533	11	STUDY	damp	stink	0	NA	NA	
155533	12	STUDY	contact	apart	5	NA	NA	
155533	13	STUDY	curve	girl	10	NA	NA	
155533	14	STUDY	maid	honor	5	NA	NA	
155533	15	STUDY	space	black	0	NA	NA	
155533	16	STUDY	stalk	kill	5	NA	NA	
155533	17	STUDY	dawn	night	0	NA	NA	
155533	18	STUDY	chief	major	5	NA	NA	
155533	19	STUDY	build	add	0	NA	NA	
155533	20	STUDY	stare	rude	5	NA	NA	
155533	21	STUDY	sleeve	jacket	10	NA	NA	
155533	22	STUDY	artist	picture	0	NA	NA	
155533	23	STUDY	shop	keeper	5	NA	NA	
155533	24	STUDY	grave	bad	10	NA	NA	
155533	25	STUDY	dizzy	confuse	10	NA	NA	
155533	26	STUDY	math	test	0	NA	NA	
155533	27	STUDY	bath	house	5	NA	NA	
155533	28	STUDY	tumble	mat	10	NA	NA	
155533	29	STUDY	circus	lion	10	NA	NA	
155533	30	STUDY	paint	smell	0	NA	NA	
155533	31	STUDY	grove	group	0	NA	NA	
155533	32	STUDY	party	friend	5	NA	NA	
155533	33	STUDY	stay	home	10	NA	NA	
155533	34	STUDY	grow	rise	0	NA	NA	
155533	35	STUDY	marsh	field	10	NA	NA	
155533	36	STUDY	choose	freedom	5	NA	NA	
155533	37	STUDY	tale	end	5	NA	NA	
155533	38	STUDY	taboo	norm	0	NA	NA	
155533	39	STUDY	marry	family	5	NA	NA	
155533	40	STUDY	beat	blend	10	NA	NA	
155533	41	STUDY	vacate	evacuate	0	NA	NA	
155533	42	STUDY	bead	rain	10	NA	NA	
155533	43	STUDY	saint	priest	0	NA	NA	
155533	44	STUDY	shame	abuse	5	NA	NA	
155533	45	STUDY	pig	dirt	10	NA	NA	
155533	46	STUDY	throw	move	5	NA	NA	
155533	47	STUDY	support	love	0	NA	NA	
155533	48	STUDY	defeat	battle	5	NA	NA	
155533	49	STUDY	student	stress	10	NA	NA	
155533	50	STUDY	beer	taste	0	NA	NA	
155533	51	STUDY	spool	pool	0	NA	NA	
155533	52	STUDY	crowd	big	10	NA	NA	
155533	53	STUDY	peel	apple	5	NA	NA	
155533	54	STUDY	demand	take	5	NA	NA	
155533	1	TEST	damp	stink	0	wet	0	
155533	2	TEST	shame	abuse	5	skip	0	
155533	3	TEST	chief	major	5	major	1	
155533	4	TEST	mask	scuba	10	skip	0	
155533	5	TEST	taboo	norm	0	skip	0	
155533	6	TEST	grove	group	0	grave	0	
155533	7	TEST	bath	house	5	house	1	
155533	8	TEST	grave	bad	10	skip	0	
155533	9	TEST	defeat	battle	5	lose	0	
155533	10	TEST	stare	rude	5	bad	0	
155533	11	TEST	stay	home	10	skip	0	
155533	12	TEST	shop	keeper	5	keeper	1	
155533	13	TEST	curve	girl	10	girl	1	
155533	14	TEST	coin	bill	0	bill	1	
155533	15	TEST	grow	rise	0	skip	0	
155533	16	TEST	search	lost	0	skip	0	
155533	17	TEST	demand	take	5	take	1	
155533	18	TEST	choose	freedom	5	skip	0	
155533	19	TEST	circus	lion	10	lion	1	
155533	20	TEST	beat	blend	10	skip	0	
155533	21	TEST	tomato	hot	10	hot	1	
155533	22	TEST	collar	blouse	0	skip	0	
155533	23	TEST	math	test	0	test	1	
155533	24	TEST	dizzy	confuse	10	skip	0	
155533	25	TEST	crowd	big	10	skip	0	
155533	26	TEST	sleeve	jacket	10	sweater	0	
155533	27	TEST	student	stress	10	teacher	0	
155533	28	TEST	vacate	evacuate	0	skip	0	
155533	29	TEST	tumble	mat	10	mat	1	
155533	30	TEST	build	add	0	add	1	
155533	31	TEST	marry	family	5	skip	0	
155533	32	TEST	paint	smell	0	skip	0	
155533	33	TEST	support	love	0	skip	0	
155533	34	TEST	space	black	0	skip	0	
155533	35	TEST	barrel	drum	5	tam	0	
155533	36	TEST	bead	rain	10	skip	0	
155533	37	TEST	beer	taste	0	taste	1	
155533	38	TEST	tale	end	5	skip	0	
155533	39	TEST	party	friend	5	skip	0	
155533	40	TEST	maid	honor	5	good	0	
155533	41	TEST	marsh	field	10	skip	0	
155533	42	TEST	spool	pool	0	pool	1	
155533	43	TEST	stalk	kill	5	kill	1	
155533	44	TEST	pig	dirt	10	skip	0	
155533	45	TEST	coast	float	10	sweam	0	
155533	46	TEST	cost	lot	5	spend	0	
155533	47	TEST	saint	priest	0	prist	0	
155533	48	TEST	piano	man	10	violin	0	
155533	49	TEST	snake	ugly	10	ugly	1	
155533	50	TEST	dawn	night	0	night	1	
155533	51	TEST	peel	apple	5	apple	1	
155533	52	TEST	throw	move	5	skip	0	
155533	53	TEST	artist	picture	0	skip	0	
155533	54	TEST	contact	apart	5	skip	0	
