SUBN	TRIAL	STUDY.TEST	WORD1	WORD2	POINTS	WORD2RESP	ACC	
110328	1	STUDY	bath	house	5	NA	NA	
110328	2	STUDY	beat	blend	10	NA	NA	
110328	3	STUDY	choose	freedom	5	NA	NA	
110328	4	STUDY	spool	pool	0	NA	NA	
110328	5	STUDY	tumble	mat	10	NA	NA	
110328	6	STUDY	taboo	norm	0	NA	NA	
110328	7	STUDY	shop	keeper	5	NA	NA	
110328	8	STUDY	barrel	drum	5	NA	NA	
110328	9	STUDY	student	stress	10	NA	NA	
110328	10	STUDY	contact	apart	5	NA	NA	
110328	11	STUDY	grove	group	0	NA	NA	
110328	12	STUDY	demand	take	5	NA	NA	
110328	13	STUDY	coin	bill	0	NA	NA	
110328	14	STUDY	stay	home	10	NA	NA	
110328	15	STUDY	beer	taste	0	NA	NA	
110328	16	STUDY	pig	dirt	10	NA	NA	
110328	17	STUDY	party	friend	5	NA	NA	
110328	18	STUDY	defeat	battle	5	NA	NA	
110328	19	STUDY	piano	man	10	NA	NA	
110328	20	STUDY	build	add	0	NA	NA	
110328	21	STUDY	bead	rain	10	NA	NA	
110328	22	STUDY	cost	lot	5	NA	NA	
110328	23	STUDY	artist	picture	0	NA	NA	
110328	24	STUDY	throw	move	5	NA	NA	
110328	25	STUDY	support	love	0	NA	NA	
110328	26	STUDY	circus	lion	10	NA	NA	
110328	27	STUDY	marry	family	5	NA	NA	
110328	28	STUDY	chief	major	5	NA	NA	
110328	29	STUDY	vacate	evacuate	0	NA	NA	
110328	30	STUDY	crowd	big	10	NA	NA	
110328	31	STUDY	search	lost	0	NA	NA	
110328	32	STUDY	damp	stink	0	NA	NA	
110328	33	STUDY	collar	blouse	0	NA	NA	
110328	34	STUDY	sleeve	jacket	10	NA	NA	
110328	35	STUDY	tomato	hot	10	NA	NA	
110328	36	STUDY	space	black	0	NA	NA	
110328	37	STUDY	dizzy	confuse	10	NA	NA	
110328	38	STUDY	shame	abuse	5	NA	NA	
110328	39	STUDY	dawn	night	0	NA	NA	
110328	40	STUDY	saint	priest	0	NA	NA	
110328	41	STUDY	snake	ugly	10	NA	NA	
110328	42	STUDY	marsh	field	10	NA	NA	
110328	43	STUDY	tale	end	5	NA	NA	
110328	44	STUDY	coast	float	10	NA	NA	
110328	45	STUDY	curve	girl	10	NA	NA	
110328	46	STUDY	grave	bad	10	NA	NA	
110328	47	STUDY	peel	apple	5	NA	NA	
110328	48	STUDY	stalk	kill	5	NA	NA	
110328	49	STUDY	mask	scuba	10	NA	NA	
110328	50	STUDY	paint	smell	0	NA	NA	
110328	51	STUDY	math	test	0	NA	NA	
110328	52	STUDY	grow	rise	0	NA	NA	
110328	53	STUDY	maid	honor	5	NA	NA	
110328	54	STUDY	stare	rude	5	NA	NA	
110328	1	TEST	collar	blouse	0	jacket	0	
110328	2	TEST	peel	apple	5	banana	0	
110328	3	TEST	stalk	kill	5	idk	0	
110328	4	TEST	marry	family	5	divorce	0	
110328	5	TEST	beat	blend	10	blend	1	
110328	6	TEST	sleeve	jacket	10	jacket	1	
110328	7	TEST	math	test	0	test	1	
110328	8	TEST	build	add	0	mat	0	
110328	9	TEST	paint	smell	0	house	0	
110328	10	TEST	artist	picture	0	idk	0	
110328	11	TEST	defeat	battle	5	battle	1	
110328	12	TEST	student	stress	10	stress	1	
110328	13	TEST	shop	keeper	5	errday	0	
110328	14	TEST	shame	abuse	5	fdadf	0	
110328	15	TEST	grow	rise	0	person	0	
110328	16	TEST	party	friend	5	friend	1	
110328	17	TEST	search	lost	0	lost	1	
110328	18	TEST	coin	bill	0	cash	0	
110328	19	TEST	bead	rain	10	blend	0	
110328	20	TEST	chief	major	5	keef	0	
110328	21	TEST	bath	house	5	time	0	
110328	22	TEST	maid	honor	5	idk	0	
110328	23	TEST	tomato	hot	10	hot	1	
110328	24	TEST	grove	group	0	sad	0	
110328	25	TEST	tumble	mat	10	mat	1	
110328	26	TEST	throw	move	5	apart	0	
110328	27	TEST	taboo	norm	0	not	0	
110328	28	TEST	spool	pool	0	forgot	0	
110328	29	TEST	damp	stink	0	away	0	
110328	30	TEST	pig	dirt	10	dirt	1	
110328	31	TEST	saint	priest	0	team	0	
110328	32	TEST	mask	scuba	10	hide	0	
110328	33	TEST	support	love	0	help	0	
110328	34	TEST	piano	man	10	person	0	
110328	35	TEST	beer	taste	0	chug	0	
110328	36	TEST	crowd	big	10	big	1	
110328	37	TEST	stay	home	10	away	0	
110328	38	TEST	vacate	evacuate	0	idk	0	
110328	39	TEST	curve	girl	10	girl	1	
110328	40	TEST	circus	lion	10	lion	1	
110328	41	TEST	stare	rude	5	away	0	
110328	42	TEST	dawn	night	0	idk	0	
110328	43	TEST	dizzy	confuse	10	drake	0	
110328	44	TEST	choose	freedom	5	one	0	
110328	45	TEST	snake	ugly	10	ugly	1	
110328	46	TEST	grave	bad	10	sad	0	
110328	47	TEST	cost	lot	5	much	0	
110328	48	TEST	tale	end	5	story	0	
110328	49	TEST	marsh	field	10	mellow	0	
110328	50	TEST	demand	take	5	take	1	
110328	51	TEST	coast	float	10	east	0	
110328	52	TEST	barrel	drum	5	bead	0	
110328	53	TEST	contact	apart	5	call	0	
110328	54	TEST	space	black	0	black	1	
