Subject	BlockNum	BlockSize	NumInBlock	Image	SymmCorrect	SymmResp	SymmAcc	Timeout	Target	TargetResp	Acc	ViewTime	YNTime	MaxTime	
135550	SqPrac1	2	1	NA	NA	NA	NA	NA	11	11	1	NA	NA	10	
135550	SqPrac1	2	2	NA	NA	NA	NA	NA	2	2	1	NA	NA	10	
135550	SqPrac2	3	1	NA	NA	NA	NA	NA	14	14	1	NA	NA	10	
135550	SqPrac2	3	2	NA	NA	NA	NA	NA	5	5	1	NA	NA	10	
135550	SqPrac2	3	3	NA	NA	NA	NA	NA	4	4	1	NA	NA	10	
135550	Symm1	6	1	pracsymm4.bmp	symmetric	0	0	0	NA	NA	NA	3.12	1.338	10	
135550	Symm1	6	2	pracsymm15.bmp	nonsymmetric	0	1	0	NA	NA	NA	3.728	1.849	10	
135550	Symm1	6	3	pracsymm14.bmp	nonsymmetric	0	1	0	NA	NA	NA	3.247	1.049	10	
135550	Symm1	6	4	pracsymm11.bmp	nonsymmetric	0	1	0	NA	NA	NA	2.825	0.724	10	
135550	Symm1	6	5	pracsymm7.bmp	symmetric	1	1	0	NA	NA	NA	2.808	1.103	10	
135550	Symm1	6	6	pracsymm2.bmp	symmetric	0	0	0	NA	NA	NA	4.072	0.641	10	
135550	CombPrac1	2	1	pracsymm12.bmp	nonsymmetric	0	1	0	14	14	1	1.652	0.742	10	
135550	CombPrac1	2	2	pracsymm6.bmp	symmetric	1	1	0	16	16	1	3.794	1.153	10	
135550	CombPrac2	3	1	pracsymm10.bmp	nonsymmetric	0	1	0	4	4	1	2.765	1.451	10	
135550	CombPrac2	3	2	pracsymm5.bmp	symmetric	1	1	0	6	undefined	0	2.118	0.956	10	
135550	CombPrac2	3	3	pracsymm8.bmp	nonsymmetric	0	1	0	3	2	0	4.963	1.517	10	
135550	1	3	1	symm36.bmp	nonsymmetric	1	0	0	15	undefined	0	5.322	4.18	7.162202639711284	
135550	1	3	2	symm30.bmp	nonsymmetric	1	0	0	7	undefined	0	4.042	0.826	7.162202639711284	
135550	1	3	3	symm12.bmp	symmetric	1	1	0	9	9	1	2.405	0.924	7.162202639711284	
135550	2	4	1	symm47.bmp	nonsymmetric	0	1	0	8	8	1	3.128	1.076	7.162202639711284	
135550	2	4	2	symm35.bmp	nonsymmetric	1	0	0	11	11	1	5.581	1.824	7.162202639711284	
135550	2	4	3	symm8.bmp	symmetric	0	0	0	4	4	1	1.408	1.406	7.162202639711284	
