SUBJNO	BLOCKNUM	BLOCKSIZE	NUMINBLOCK	TERM1	OP	TERM2	TERM3	ANSWER	PROBE	PROBETYPE	DIFFIC	MATHRESP	MATHACC	TIMEOUT	TBRLETTER	TYPED	RECALLED	MATHTIME	TFTIME	MAXTIME	
155425	Cal	15	1	7	*	7	6	55	54	0	4	0	1	0	-	NA	-1	2.671	1.793	10	
155425	Cal	15	2	6	/	2	4	7	10	0	1	0	1	0	-	NA	-1	1.23	0.968	10	
155425	Cal	15	3	7	*	9	9	72	72	1	4	1	1	0	-	NA	-1	1.482	0.718	10	
155425	Cal	15	4	1	*	2	9	11	8	0	1	0	1	0	-	NA	-1	0.875	1.497	10	
155425	Cal	15	5	9	/	1	-6	3	3	1	1	1	1	0	-	NA	-1	0.564	1.436	10	
155425	Cal	15	6	1	*	4	5	9	3	0	1	1	0	0	-	NA	-1	1.001	0.59	10	
155425	Cal	15	7	4	*	6	-3	21	16	0	3	0	1	0	-	NA	-1	1.109	1.133	10	
155425	Cal	15	8	6	*	8	-8	40	45	0	4	0	1	0	-	NA	-1	1.23	0.865	10	
155425	Cal	15	9	5	*	9	-8	37	37	1	4	1	1	0	-	NA	-1	2.219	4.597	10	
155425	Cal	15	10	9	/	9	6	7	7	1	1	1	1	0	-	NA	-1	1.629	0.801	10	
155425	Cal	15	11	4	*	9	-8	28	28	1	3	1	1	0	-	NA	-1	1.315	1.118	10	
155425	Cal	15	12	3	*	5	-6	9	13	0	2	0	1	0	-	NA	-1	1.004	1.283	10	
155425	Cal	15	13	8	/	4	3	5	5	1	1	1	1	0	-	NA	-1	1.401	0.663	10	
155425	Cal	15	14	5	*	8	9	49	47	0	4	0	1	0	-	NA	-1	1.208	0.853	10	
155425	Cal	15	15	6	*	7	-9	33	33	1	4	1	1	0	-	NA	-1	1.14	2.06	10	
155425	Prac1	2	1	6	/	3	8	10	5	0	1	0	1	0	R	r	1	1.484	1.259	5.992957271278367	
155425	Prac1	2	2	7	*	5	8	43	43	1	3	1	1	0	P	p	1	2.685	1.007	5.992957271278367	
155425	Prac2	3	1	2	*	7	9	23	24	0	2	0	1	0	T	t	1	1.296	1.632	5.992957271278367	
155425	Prac2	3	2	2	*	9	2	20	20	1	2	1	1	0	Y	y	1	0.995	0.777	5.992957271278367	
155425	Prac2	3	3	8	*	7	-3	53	51	0	4	0	1	0	J	j	1	0.692	2.572	5.992957271278367	
155425	3	6	1	1	*	5	6	11	11	1	1	1	1	0	K	k	1	1.219	0.877	5.992957271278367	
