SUBJNO	BLOCKNUM	BLOCKSIZE	NUMINBLOCK	TERM1	OP	TERM2	TERM3	ANSWER	PROBE	PROBETYPE	DIFFIC	MATHRESP	MATHACC	TIMEOUT	TBRLETTER	TYPED	RECALLED	MATHTIME	TFTIME	MAXTIME	
160722	Cal	15	1	7	*	7	3	52	52	1	4	0	0	0	-	NA	-1	0.209	1.656	10	
160722	Cal	15	2	6	/	2	6	9	12	0	1	0	1	0	-	NA	-1	1.575	1.006	10	
160722	Cal	15	3	7	*	9	9	72	72	1	4	0	0	0	-	NA	-1	0.033	1.674	10	
160722	Cal	15	4	1	*	2	8	10	18	0	1	0	1	0	-	NA	-1	1.484	1.163	10	
160722	Cal	15	5	9	/	1	-5	4	3	0	1	0	1	0	-	NA	-1	1.485	1.415	10	
160722	Cal	15	6	1	*	4	-3	1	1	1	1	1	1	0	-	NA	-1	1.703	1.26	10	
160722	Cal	15	7	4	*	6	3	27	35	0	3	0	1	0	-	NA	-1	1.266	0.933	10	
160722	Cal	15	8	6	*	8	9	57	61	0	4	0	1	0	-	NA	-1	1.932	1.082	10	
160722	Cal	15	9	5	*	9	-7	38	38	1	4	1	1	0	-	NA	-1	2.186	0.997	10	
160722	Cal	15	10	9	/	9	6	7	5	0	1	0	1	0	-	NA	-1	1.484	1.364	10	
160722	Cal	15	11	4	*	9	-9	27	27	1	3	1	1	0	-	NA	-1	2.311	1.137	10	
160722	Cal	15	12	3	*	5	4	19	19	1	2	1	1	0	-	NA	-1	1.205	0.679	10	
160722	Cal	15	13	8	/	4	4	6	6	1	1	1	1	0	-	NA	-1	1.406	0.874	10	
160722	Cal	15	14	5	*	8	-7	33	36	0	4	0	1	0	-	NA	-1	1.375	1.023	10	
160722	Cal	15	15	6	*	7	-6	36	36	1	4	1	1	0	-	NA	-1	2.03	0.819	10	
160722	Prac1	2	1	6	/	3	5	7	2	0	1	0	1	0	T	t	1	2.463	1.269	3.874630737946844	
160722	Prac1	2	2	7	*	5	-7	28	28	1	3	1	1	0	P	p	1	1.703	1.18	3.874630737946844	
160722	Prac2	3	1	2	*	7	-2	12	17	0	2	0	1	0	K	k	1	1.988	1.133	3.874630737946844	
160722	Prac2	3	2	2	*	9	-8	10	1	0	2	0	1	0	H	h	1	1.532	1.246	3.874630737946844	
160722	Prac2	3	3	8	*	7	-9	47	47	1	4	NA	0	1	N	p	0	3.874630737946844	0	3.874630737946844	
160722	3	6	1	1	*	5	7	12	12	1	1	NA	0	1	T	t	1	3.874630737946844	0	3.874630737946844	
160722	3	6	2	4	*	3	6	18	11	0	2	0	1	0	Y	y	1	1.1	1.322	3.874630737946844	
160722	3	6	3	7	/	7	9	10	10	1	1	1	1	0	P	p	1	1.471	0.812	3.874630737946844	
160722	3	6	4	1	*	9	-4	5	5	1	1	1	1	0	Q	q	1	1.547	0.82	3.874630737946844	
160722	3	6	5	4	/	4	4	5	3	0	1	0	1	0	S	s	1	0.832	1.386	3.874630737946844	
160722	3	6	6	7	*	4	7	35	33	0	3	0	1	0	F	t	0	1.283	1.169	3.874630737946844	
160722	4	4	1	1	/	1	2	3	5	0	1	0	1	0	P	f	0	1.193	0.811	3.874630737946844	
160722	4	4	2	2	/	1	-1	1	1	1	1	1	1	0	T	t	1	1.674	0.894	3.874630737946844	
160722	4	4	3	3	/	1	6	9	9	1	1	1	1	0	J	j	1	1.409	1.074	3.874630737946844	
160722	4	4	4	2	*	5	8	18	21	0	2	0	1	0	Q	q	1	1.004	0.898	3.874630737946844	
160722	5	3	1	8	*	6	3	51	51	1	4	1	1	0	R	r	1	1.501	0.833	3.874630737946844	
160722	5	3	2	1	*	8	-6	2	10	0	1	0	1	0	F	f	1	1.066	1.419	3.874630737946844	
160722	5	3	3	7	*	8	3	59	62	0	4	0	1	0	L	l	1	1.597	1.138	3.874630737946844	
160722	6	5	1	3	*	7	-2	19	12	0	3	0	1	0	R	r	1	1.302	1.149	3.874630737946844	
160722	6	5	2	8	/	8	8	9	5	0	1	0	1	0	K	k	1	0.815	1.104	3.874630737946844	
160722	6	5	3	9	*	5	-5	40	40	1	4	1	1	0	T	t	1	1.063	1.101	3.874630737946844	
160722	6	5	4	8	*	9	-2	70	70	1	4	1	1	0	L	l	1	1.113	1.323	3.874630737946844	
160722	6	5	5	4	*	5	-9	11	8	0	3	0	1	0	Q	q	1	1.469	1.263	3.874630737946844	
160722	7	7	1	5	*	7	3	38	37	0	3	0	1	0	S	s	1	0.958	0.984	3.874630737946844	
160722	7	7	2	4	*	4	-6	10	10	1	2	1	1	0	N	n	1	1.003	1.464	3.874630737946844	
160722	7	7	3	3	/	3	1	2	2	1	1	1	1	0	Y	y	1	1.048	0.785	3.874630737946844	
160722	7	7	4	2	*	4	-7	1	1	1	1	1	1	0	T	t	1	0.985	1.214	3.874630737946844	
160722	7	7	5	3	*	6	-3	15	13	0	2	0	1	0	F	r	0	0.94	1.516	3.874630737946844	
160722	7	7	6	9	*	7	2	65	66	0	4	0	1	0	R	p	0	0.799	1.57	3.874630737946844	
160722	7	7	7	8	/	1	-6	2	11	0	1	0	1	0	P	q	0	0.833	0.971	3.874630737946844	
160722	8	5	1	3	*	3	8	17	25	0	1	0	1	0	K	k	1	0.969	0.916	3.874630737946844	
160722	8	5	2	6	*	5	-7	23	26	0	3	0	1	0	H	h	1	1.205	1.262	3.874630737946844	
160722	8	5	3	7	*	3	-3	18	18	1	3	1	1	0	R	r	1	0.908	2.32	3.874630737946844	
160722	8	5	4	1	*	7	8	15	15	1	1	1	1	0	Y	y	1	1.704	0.931	3.874630737946844	
160722	8	5	5	9	*	3	3	30	30	1	3	1	1	0	N	q	0	0.834	0.982	3.874630737946844	
160722	9	4	1	8	*	3	-4	20	20	1	3	1	1	0	R	r	1	1.272	0.75	3.874630737946844	
160722	9	4	2	9	*	6	1	55	47	0	4	0	1	0	S	s	1	1.05	1.198	3.874630737946844	
160722	9	4	3	6	*	2	-7	5	5	1	2	1	1	0	L	l	1	1.599	1.74	3.874630737946844	
160722	9	4	4	8	*	5	6	46	37	0	4	0	1	0	F	f	1	0.972	0.998	3.874630737946844	
160722	10	3	1	3	*	4	-6	6	6	1	2	1	1	0	T	t	1	0.13	1.89	3.874630737946844	
160722	10	3	2	9	/	3	2	5	4	0	1	0	1	0	L	l	1	0.267	2.099	3.874630737946844	
160722	10	3	3	6	*	4	4	28	35	0	3	0	1	0	N	n	1	1.344	0.922	3.874630737946844	
160722	11	6	1	4	*	7	-7	21	21	1	3	1	1	0	Y	y	1	1.125	0.687	3.874630737946844	
160722	11	6	2	7	/	1	-2	5	11	0	1	0	1	0	T	t	1	1.534	0.786	3.874630737946844	
160722	11	6	3	5	*	3	-3	12	6	0	2	0	1	0	N	n	1	0.895	1.176	3.874630737946844	
160722	11	6	4	8	*	8	6	70	70	1	4	1	1	0	F	f	1	1.287	2.261	3.874630737946844	
160722	11	6	5	6	*	3	3	21	21	1	2	1	1	0	H	h	1	1.005	0.748	3.874630737946844	
160722	11	6	6	5	*	5	2	27	30	0	3	0	1	0	R	r	1	1.128	1.523	3.874630737946844	
160722	12	7	1	5	*	6	-6	24	24	1	3	1	1	0	J	j	1	1.016	0.816	3.874630737946844	
160722	12	7	2	6	/	1	8	14	14	1	1	1	1	0	R	r	1	1.455	0.878	3.874630737946844	
160722	12	7	3	3	*	2	4	10	2	0	1	0	1	0	S	s	1	1.346	1.019	3.874630737946844	
160722	12	7	4	5	*	4	-6	14	8	0	3	0	1	0	K	t	0	0.893	1.042	3.874630737946844	
