SUBJNO	BLOCKNUM	BLOCKSIZE	NUMINBLOCK	ITEMID	ANSWER	TFRESP	TFACC	TIMEOUT	TBRLETTER	TYPED	RECALLED	READTIME	TFTIME	MAXTIME	
150922	Cal	15	1	silver	1	1	1	0	-	NA	-1	5.35	0.951	10	
150922	Cal	15	2	tennis	0	0	1	0	-	NA	-1	4.804	1.146	10	
150922	Cal	15	3	quarter	0	0	1	0	-	NA	-1	8.593	1.294	10	
150922	Cal	15	4	mountain	1	1	1	0	-	NA	-1	4.141	0.849	10	
150922	Cal	15	5	juice	0	0	1	0	-	NA	-1	3.01	0.981	10	
150922	Cal	15	6	nephew	0	0	1	0	-	NA	-1	4.972	1.326	10	
150922	Cal	15	7	spoon	0	0	1	0	-	NA	-1	3.871	0.919	10	
150922	Cal	15	8	deer	1	1	1	0	-	NA	-1	4.295	1.347	10	
150922	Cal	15	9	corn	0	0	1	0	-	NA	-1	3.771	1.149	10	
150922	Cal	15	10	gray	1	1	1	0	-	NA	-1	4.444	0.949	10	
150922	Cal	15	11	flute	0	0	1	0	-	NA	-1	5.575	2.948	10	
150922	Cal	15	12	cousin	0	NA	0	1	-	NA	-1	10	0	10	
150922	Cal	15	13	boat	1	1	1	0	-	NA	-1	2.969	1.104	10	
150922	Cal	15	14	island	1	1	1	0	-	NA	-1	2.737	1.023	10	
150922	Cal	15	15	screw	0	1	0	0	-	NA	-1	3.426	0.94	10	
150922	Prac1	2	1	cabin	0	0	1	0	F	e	0	4.156	1.114	10.977003252704003	
150922	Prac1	2	2	egg	1	1	1	0	Y	y	1	4.035	0.856	10.977003252704003	
150922	Prac2	2	1	robe	0	0	1	0	F	f	1	5.049	0.822	10.977003252704003	
150922	Prac2	2	2	garlic	0	0	1	0	H	h	1	3.924	1.031	10.977003252704003	
150922	3	5	1	rabbit	0	0	1	0	P	p	1	3.694	1.168	10.977003252704003	
150922	3	5	2	door	1	1	1	0	Q	q	1	3.983	1.258	10.977003252704003	
150922	3	5	3	emerald	1	1	1	0	F	f	1	3.699	1.705	10.977003252704003	
150922	3	5	4	sweater	0	0	1	0	N	n	1	3.414	1.134	10.977003252704003	
150922	3	5	5	gasoline	0	0	1	0	H	h	1	4.572	1.012	10.977003252704003	
150922	4	4	1	hail	1	1	1	0	J	j	1	4.781	1.197	10.977003252704003	
150922	4	4	2	inch	1	1	1	0	S	s	1	4.332	0.977	10.977003252704003	
150922	4	4	3	bureau	1	0	0	0	F	h	0	3.89	0.898	10.977003252704003	
150922	4	4	4	doctor	1	1	1	0	P	p	1	5.444	1.184	10.977003252704003	
150922	5	4	1	baseball	1	1	1	0	Q	q	1	3.032	0.933	10.977003252704003	
150922	5	4	2	perch	0	0	1	0	J	j	1	4.382	0.852	10.977003252704003	
150922	5	4	3	professor	1	1	1	0	P	p	1	1.996	0.705	10.977003252704003	
150922	5	4	4	toe	0	0	1	0	N	n	1	3.317	0.762	10.977003252704003	
150922	6	3	1	pine	0	0	1	0	F	f	1	5.019	1.838	10.977003252704003	
150922	6	3	2	sock	1	1	1	0	L	l	1	2.581	1.038	10.977003252704003	
150922	6	3	3	week	0	0	1	0	S	s	1	3.676	0.728	10.977003252704003	
150922	7	2	1	pound	1	1	1	0	S	s	1	2.764	1.062	10.977003252704003	
150922	7	2	2	daisy	0	0	1	0	J	j	1	2.393	1.093	10.977003252704003	
150922	8	6	1	poem	1	1	1	0	H	h	1	6.53	2.32	10.977003252704003	
150922	8	6	2	orange	1	1	1	0	P	p	1	5.147	0.938	10.977003252704003	
150922	8	6	3	rose	1	1	1	0	Y	y	1	2.002	2.029	10.977003252704003	
150922	8	6	4	bed	0	0	1	0	L	l	1	3.448	1.186	10.977003252704003	
150922	8	6	5	hammer	1	1	1	0	T	t	1	4.464	0.807	10.977003252704003	
150922	8	6	6	pepper	0	0	1	0	S	s	1	4.627	0.946	10.977003252704003	
150922	9	5	1	desert	0	0	1	0	T	t	1	4.069	1.001	10.977003252704003	
150922	9	5	2	harp	0	0	1	0	K	k	1	4.559	0.778	10.977003252704003	
150922	9	5	3	track	1	1	1	0	R	r	1	2.546	1.264	10.977003252704003	
150922	9	5	4	plumber	1	1	1	0	Q	q	1	2.484	1.121	10.977003252704003	
150922	9	5	5	coat	0	0	1	0	F	s	0	3.175	0.716	10.977003252704003	
150922	10	3	1	foot	0	0	1	0	J	j	1	4.583	2.796	10.977003252704003	
150922	10	3	2	velvet	0	0	1	0	N	n	1	2.834	1.486	10.977003252704003	
150922	10	3	3	parrot	1	1	1	0	Q	q	1	3.019	0.811	10.977003252704003	
150922	11	2	1	valley	1	1	1	0	T	t	1	3.882	0.882	10.977003252704003	
150922	11	2	2	pear	0	0	1	0	Y	y	1	2.101	0.991	10.977003252704003	
150922	12	6	1	wolf	1	1	1	0	Q	q	1	2.818	1.086	10.977003252704003	
150922	12	6	2	hour	1	1	1	0	K	k	1	4.084	0.742	10.977003252704003	
150922	12	6	3	bee	1	1	1	0	J	j	1	1.836	1.213	10.977003252704003	
150922	12	6	4	carpenter	0	0	1	0	N	n	1	1.712	0.721	10.977003252704003	
150922	12	6	5	windows	1	1	1	0	H	h	1	3.981	1.243	10.977003252704003	
150922	12	6	6	canary	0	0	1	0	R	y	0	5.227	0.76	10.977003252704003	
