SUBJNO	BLOCKNUM	BLOCKSIZE	NUMINBLOCK	TERM1	OP	TERM2	TERM3	ANSWER	PROBE	PROBETYPE	DIFFIC	MATHRESP	MATHACC	TIMEOUT	TBRLETTER	TYPED	RECALLED	MATHTIME	TFTIME	MAXTIME	
122602	Cal	15	1	7	*	7	-2	47	47	1	4	1	1	0	-	NA	-1	1.919	1.405	10	
122602	Cal	15	2	6	/	2	1	4	13	0	1	0	1	0	-	NA	-1	1.771	1.31	10	
122602	Cal	15	3	7	*	9	-8	55	47	0	4	0	1	0	-	NA	-1	3.045	0.839	10	
122602	Cal	15	4	1	*	2	3	5	3	0	1	0	1	0	-	NA	-1	1.924	0.886	10	
122602	Cal	15	5	9	/	1	3	12	7	0	1	0	1	0	-	NA	-1	1.885	0.769	10	
122602	Cal	15	6	1	*	4	3	7	7	1	1	1	1	0	-	NA	-1	1.358	0.725	10	
122602	Cal	15	7	4	*	6	-7	17	17	1	3	1	1	0	-	NA	-1	2.063	0.606	10	
122602	Cal	15	8	6	*	8	-6	42	39	0	4	0	1	0	-	NA	-1	3.855	0.856	10	
122602	Cal	15	9	5	*	9	-2	43	43	1	4	1	1	0	-	NA	-1	1.938	0.735	10	
122602	Cal	15	10	9	/	9	8	9	9	1	1	0	0	0	-	NA	-1	1.508	1.636	10	
122602	Cal	15	11	4	*	9	4	40	40	1	3	1	1	0	-	NA	-1	2.344	0.743	10	
122602	Cal	15	12	3	*	5	-3	12	12	1	2	1	1	0	-	NA	-1	1.72	0.505	10	
122602	Cal	15	13	8	/	4	4	6	11	0	1	0	1	0	-	NA	-1	2.343	0.894	10	
122602	Cal	15	14	5	*	8	5	45	45	1	4	1	1	0	-	NA	-1	1.627	0.701	10	
122602	Cal	15	15	6	*	7	-4	38	44	0	4	0	1	0	-	NA	-1	3.169	0.959	10	
122602	Prac1	2	1	6	/	3	6	8	8	1	1	0	0	0	P	n	0	2.078	1.521	4.883201397857393	
122602	Prac1	2	2	7	*	5	-1	34	43	0	3	0	1	0	F	f	1	1.846	1.119	4.883201397857393	
122602	Prac2	3	1	2	*	7	-3	11	11	1	2	1	1	0	T	t	1	2.051	0.849	4.883201397857393	
122602	Prac2	3	2	2	*	9	7	25	22	0	2	0	1	0	F	f	1	1.894	0.91	4.883201397857393	
122602	Prac2	3	3	8	*	7	-5	51	51	1	4	1	1	0	P	p	1	3.095	0.635	4.883201397857393	
122602	3	6	1	1	*	5	3	8	17	0	1	0	1	0	T	t	1	2.217	0.867	4.883201397857393	
122602	3	6	2	4	*	3	-1	11	11	1	2	1	1	0	J	f	0	1.661	0.617	4.883201397857393	
122602	3	6	3	7	/	7	1	2	2	1	1	0	0	0	R	r	1	1.409	0.741	4.883201397857393	
122602	3	6	4	1	*	9	-3	6	10	0	1	0	1	0	N	h	0	2.255	1.075	4.883201397857393	
122602	3	6	5	4	/	4	2	3	3	1	1	1	1	0	H	y	0	1.704	1.042	4.883201397857393	
122602	3	6	6	7	*	4	8	36	32	0	3	1	0	0	Y	s	0	1.779	1.297	4.883201397857393	
122602	4	4	1	1	/	1	1	2	2	1	1	1	1	0	P	t	0	1.728	0.621	4.883201397857393	
122602	4	4	2	2	/	1	-1	1	1	1	1	1	1	0	K	k	1	1.654	0.801	4.883201397857393	
122602	4	4	3	3	/	1	7	10	11	0	1	0	1	0	T	t	1	1.457	0.743	4.883201397857393	
122602	4	4	4	2	*	5	-1	9	12	0	2	0	1	0	N	n	1	1.362	1.115	4.883201397857393	
122602	5	3	1	8	*	6	7	55	54	0	4	0	1	0	H	t	0	1.487	0.876	4.883201397857393	
122602	5	3	2	1	*	8	5	13	8	0	1	0	1	0	L	f	0	1.588	0.857	4.883201397857393	
122602	5	3	3	7	*	8	-8	48	48	1	4	1	1	0	R	r	1	3.924	0.925	4.883201397857393	
122602	6	5	1	3	*	7	-6	15	16	0	3	0	1	0	Q	q	1	2.298	1.559	4.883201397857393	
122602	6	5	2	8	/	8	7	8	12	0	1	0	1	0	H	h	1	1.768	0.829	4.883201397857393	
122602	6	5	3	9	*	5	-3	42	42	1	4	1	1	0	Y	y	1	2.724	0.927	4.883201397857393	
122602	6	5	4	8	*	9	-7	65	65	1	4	0	0	0	S	s	1	3.248	1.13	4.883201397857393	
122602	6	5	5	4	*	5	-6	14	5	0	3	0	1	0	N	n	1	1.685	0.868	4.883201397857393	
122602	7	7	1	5	*	7	6	41	32	0	3	0	1	0	K	-	0	1.863	0.968	4.883201397857393	
122602	7	7	2	4	*	4	7	23	23	1	2	1	1	0	R	-	0	3.305	0.891	4.883201397857393	
122602	7	7	3	3	/	3	3	4	4	1	1	1	1	0	T	-	0	1.767	0.58	4.883201397857393	
122602	7	7	4	2	*	4	7	15	15	1	1	1	1	0	P	-	0	1.253	0.524	4.883201397857393	
122602	7	7	5	3	*	6	1	19	12	0	2	0	1	0	J	-	0	1.425	0.838	4.883201397857393	
122602	7	7	6	9	*	7	-9	54	60	0	4	0	1	0	N	-	0	3.254	0.914	4.883201397857393	
122602	7	7	7	8	/	1	9	17	17	1	1	1	1	0	S	s	1	2.647	1.406	4.883201397857393	
122602	8	5	1	3	*	3	1	10	8	0	1	0	1	0	L	l	1	2.491	0.784	4.883201397857393	
122602	8	5	2	6	*	5	5	35	35	1	3	1	1	0	P	p	1	1.222	0.66	4.883201397857393	
122602	8	5	3	7	*	3	7	28	28	1	3	1	1	0	F	f	1	1.436	0.678	4.883201397857393	
122602	8	5	4	1	*	7	-2	5	4	0	1	0	1	0	T	s	0	1.558	0.865	4.883201397857393	
122602	8	5	5	9	*	3	1	28	28	1	3	1	1	0	J	t	0	0.893	0.888	4.883201397857393	
122602	9	4	1	8	*	3	6	30	31	0	3	0	1	0	N	l	0	1.442	0.877	4.883201397857393	
122602	9	4	2	9	*	6	-1	53	53	1	4	1	1	0	F	n	0	2.146	0.717	4.883201397857393	
122602	9	4	3	6	*	2	3	15	15	1	2	1	1	0	Y	t	0	1.412	0.802	4.883201397857393	
122602	9	4	4	8	*	5	-9	31	25	0	4	NA	0	1	L	y	0	4.883201397857393	0	4.883201397857393	
122602	10	3	1	3	*	4	-6	6	6	1	2	1	1	0	J	j	1	2.496	0.846	4.883201397857393	
122602	10	3	2	9	/	3	3	6	8	0	1	0	1	0	F	f	1	2.263	1.014	4.883201397857393	
122602	10	3	3	6	*	4	7	31	31	1	3	1	1	0	T	t	1	1.76	0.635	4.883201397857393	
122602	11	6	1	4	*	7	-8	20	20	1	3	1	1	0	J	j	1	2.212	0.776	4.883201397857393	
122602	11	6	2	7	/	1	8	15	10	0	1	0	1	0	H	h	1	2.764	0.787	4.883201397857393	
122602	11	6	3	5	*	3	9	24	15	0	2	0	1	0	R	r	1	1.474	1.135	4.883201397857393	
122602	11	6	4	8	*	8	-3	61	61	1	4	1	1	0	N	n	1	3.609	0.938	4.883201397857393	
122602	11	6	5	6	*	3	-6	12	20	0	2	0	1	0	Q	q	1	1.515	1.133	4.883201397857393	
122602	11	6	6	5	*	5	4	29	29	1	3	1	1	0	P	p	1	1.451	0.937	4.883201397857393	
122602	12	7	1	5	*	6	-5	25	25	1	3	1	1	0	S	-	0	1.401	0.904	4.883201397857393	
122602	12	7	2	6	/	1	4	10	5	0	1	0	1	0	F	-	0	1.585	1.427	4.883201397857393	
122602	12	7	3	3	*	2	-1	5	5	1	1	1	1	0	Y	-	0	1.309	0.52	4.883201397857393	
122602	12	7	4	5	*	4	-8	12	21	0	3	0	1	0	P	-	0	1.18	1.038	4.883201397857393	
122602	12	7	5	8	*	2	8	24	24	1	2	1	1	0	T	-	0	2.61	0.712	4.883201397857393	
122602	12	7	6	4	/	1	2	6	8	0	1	0	1	0	J	-	0	1.401	1.795	4.883201397857393	
122602	12	7	7	6	*	6	7	43	43	1	3	1	1	0	L	l	1	1.706	0.569	4.883201397857393	
122602	13	6	1	4	*	8	-2	30	30	1	3	1	1	0	S	-	0	1.762	2.646	4.883201397857393	
122602	13	6	2	1	*	3	1	4	4	1	1	1	1	0	Q	-	0	1.116	0.499	4.883201397857393	
122602	13	6	3	2	/	2	1	2	2	1	1	1	1	0	F	-	0	1.392	1.309	4.883201397857393	
122602	13	6	4	2	*	2	4	8	14	0	1	0	1	0	H	-	0	1.249	0.795	4.883201397857393	
122602	13	6	5	5	*	2	4	14	19	0	2	0	1	0	L	-	0	1.078	0.95	4.883201397857393	
122602	13	6	6	4	*	2	-2	6	10	0	1	0	1	0	Y	y	1	2.026	0.991	4.883201397857393	
122602	14	5	1	9	*	2	5	23	14	0	2	0	1	0	K	k	1	1.219	0.877	4.883201397857393	
122602	14	5	2	1	*	6	2	8	17	0	1	0	1	0	F	f	1	1.179	0.768	4.883201397857393	
122602	14	5	3	4	/	2	8	10	10	1	1	1	1	0	T	t	1	2.086	0.737	4.883201397857393	
122602	14	5	4	7	*	6	-1	41	46	0	4	0	1	0	H	h	1	1.179	0.719	4.883201397857393	
122602	14	5	5	9	*	4	2	38	38	1	3	1	1	0	N	n	1	1.187	1.053	4.883201397857393	
122602	15	3	1	7	*	2	8	22	22	1	2	1	1	0	L	-	0	1.199	0.676	4.883201397857393	
122602	15	3	2	8	/	2	-3	1	1	1	1	1	1	0	Y	-	0	2.35	1.169	4.883201397857393	
122602	15	3	3	5	/	1	-2	3	6	0	1	NA	0	1	R	r	1	4.883201397857393	0	4.883201397857393	
122602	16	7	1	6	*	9	-5	49	49	1	4	1	1	0	S	s	1	2.452	2.002	4.883201397857393	
122602	16	7	2	3	*	8	-3	21	21	1	3	1	1	0	P	p	1	1.971	1.02	4.883201397857393	
122602	16	7	3	9	*	9	2	83	77	0	4	0	1	0	T	t	1	1.516	1.028	4.883201397857393	
122602	16	7	4	8	*	4	1	33	38	0	3	0	1	0	L	q	0	1.638	0.993	4.883201397857393	
122602	16	7	5	2	*	6	4	16	24	0	2	0	1	0	Q	l	0	1.486	1.306	4.883201397857393	
122602	16	7	6	6	/	6	4	5	5	1	1	1	1	0	N	m	0	1.452	0.976	4.883201397857393	
122602	16	7	7	3	*	9	-9	18	18	1	3	1	1	0	K	t	0	1.864	0.682	4.883201397857393	
122602	17	4	1	2	*	3	-4	2	4	0	1	0	1	0	Q	q	1	1.62	1.133	4.883201397857393	
122602	17	4	2	5	/	5	2	3	1	0	1	1	0	0	F	f	1	1.083	0.851	4.883201397857393	
122602	17	4	3	9	*	8	-8	64	64	1	4	1	1	0	P	p	1	1.791	0.931	4.883201397857393	
122602	17	4	4	2	*	8	5	21	21	1	2	1	1	0	S	s	1	1.128	1.442	4.883201397857393	
