SUBJNO	BLOCKNUM	BLOCKSIZE	NUMINBLOCK	TERM1	OP	TERM2	TERM3	ANSWER	PROBE	PROBETYPE	DIFFIC	MATHRESP	MATHACC	TIMEOUT	TBRLETTER	TYPED	RECALLED	MATHTIME	TFTIME	MAXTIME	
150855	Cal	15	1	7	*	7	-3	46	46	1	4	NA	0	1	-	NA	-1	10	0	10	
150855	Cal	15	2	6	/	2	8	11	17	0	1	NA	0	1	-	NA	-1	10	0	10	
150855	Cal	15	3	7	*	9	-9	54	49	0	4	NA	0	1	-	NA	-1	10	0	10	
150855	Cal	15	4	1	*	2	4	6	2	0	1	NA	0	1	-	NA	-1	10	0	10	
150855	Cal	15	5	9	/	1	8	17	17	1	1	NA	0	1	-	NA	-1	10	0	10	
150855	Cal	15	6	1	*	4	9	13	13	1	1	NA	0	1	-	NA	-1	10	0	10	
150855	Cal	15	7	4	*	6	-8	16	16	1	3	NA	0	1	-	NA	-1	10	0	10	
150855	Cal	15	8	6	*	8	-7	41	41	1	4	1	1	0	-	NA	-1	0.199	2.222	10	
150855	Cal	15	9	5	*	9	6	51	51	1	4	0	0	0	-	NA	-1	2.437	1.259	10	
150855	Cal	15	10	9	/	9	1	2	2	1	1	1	1	0	-	NA	-1	1.798	0.727	10	
150855	Cal	15	11	4	*	9	-9	27	35	0	3	1	0	0	-	NA	-1	2.467	1.599	10	
150855	Cal	15	12	3	*	5	-3	12	13	0	2	0	1	0	-	NA	-1	7.739	1.597	10	
150855	Cal	15	13	8	/	4	2	4	3	0	1	NA	0	1	-	NA	-1	10	0	10	
150855	Cal	15	14	5	*	8	7	47	48	0	4	1	0	0	-	NA	-1	3.696	2.205	10	
150855	Cal	15	15	6	*	7	-6	36	36	1	4	NA	0	1	-	NA	-1	10	0	10	
150855	Prac1	2	1	6	/	3	8	10	18	0	1	0	1	0	R	-	0	6.327	0.928	15.683839834332737	
150855	Prac1	2	2	7	*	5	-6	29	29	1	3	1	1	0	T	t	1	1.943	1.418	15.683839834332737	
150855	Prac2	3	1	2	*	7	-7	7	7	1	2	1	1	0	P	-	0	1.286	1.809	15.683839834332737	
150855	Prac2	3	2	2	*	9	8	26	21	0	2	1	0	0	L	-	0	0.054	1.373	15.683839834332737	
150855	Prac2	3	3	8	*	7	-7	49	40	0	4	1	0	0	J	-	0	0.146	0.53	15.683839834332737	
150855	3	6	1	1	*	5	-3	2	2	1	1	1	1	0	Y	-	0	2.191	0.673	15.683839834332737	
150855	3	6	2	4	*	3	7	19	18	0	2	1	0	0	R	r	1	2.692	0.741	15.683839834332737	
150855	3	6	3	7	/	7	8	9	9	1	1	1	1	0	H	h	1	3.18	1.627	15.683839834332737	
150855	3	6	4	1	*	9	1	10	9	0	1	0	1	0	S	l	0	1.882	1.381	15.683839834332737	
150855	3	6	5	4	/	4	8	9	9	1	1	1	1	0	L	p	0	2.066	2.084	15.683839834332737	
150855	3	6	6	7	*	4	-1	27	23	0	3	1	0	0	P	-	0	0.012	1.272	15.683839834332737	
150855	4	4	1	1	/	1	7	8	8	1	1	1	1	0	K	r	0	2.185	0.736	15.683839834332737	
150855	4	4	2	2	/	1	2	4	4	1	1	1	1	0	N	h	0	1.936	1.678	15.683839834332737	
150855	4	4	3	3	/	1	1	4	3	0	1	1	0	0	L	n	0	0.197	1.054	15.683839834332737	
150855	4	4	4	2	*	5	4	14	18	0	2	0	1	0	S	-	0	0.049	0.655	15.683839834332737	
150855	5	3	1	8	*	6	7	55	54	0	4	1	0	0	T	r	0	0.793	0.691	15.683839834332737	
