Subject	BlockNum	BlockSize	NumInBlock	Image	SymmCorrect	SymmResp	SymmAcc	Timeout	Target	TargetResp	Acc	ViewTime	YNTime	MaxTime	
113636	SqPrac1	2	1	NA	NA	NA	NA	NA	9	9	1	NA	NA	10	
113636	SqPrac1	2	2	NA	NA	NA	NA	NA	2	2	1	NA	NA	10	
113636	SqPrac2	3	1	NA	NA	NA	NA	NA	15	15	1	NA	NA	10	
113636	SqPrac2	3	2	NA	NA	NA	NA	NA	12	12	1	NA	NA	10	
113636	SqPrac2	3	3	NA	NA	NA	NA	NA	10	10	1	NA	NA	10	
113636	Symm1	6	1	pracsymm5.bmp	symmetric	1	1	0	NA	NA	NA	2.6	0.978	10	
113636	Symm1	6	2	pracsymm4.bmp	symmetric	1	1	0	NA	NA	NA	1.575	0.824	10	
113636	Symm1	6	3	pracsymm15.bmp	nonsymmetric	0	1	0	NA	NA	NA	2.395	0.872	10	
113636	Symm1	6	4	pracsymm11.bmp	nonsymmetric	0	1	0	NA	NA	NA	5.32	0.786	10	
113636	Symm1	6	5	pracsymm1.bmp	symmetric	1	1	0	NA	NA	NA	2.971	0.833	10	
113636	Symm1	6	6	pracsymm9.bmp	nonsymmetric	0	1	0	NA	NA	NA	1.053	0.846	10	
113636	CombPrac1	2	1	pracsymm8.bmp	nonsymmetric	0	1	0	10	10	1	2.781	0.849	10	
113636	CombPrac1	2	2	pracsymm3.bmp	symmetric	1	1	0	5	5	1	2.174	0.847	10	
113636	CombPrac2	3	1	pracsymm14.bmp	nonsymmetric	0	1	0	16	16	1	1.332	0.832	10	
113636	CombPrac2	3	2	pracsymm12.bmp	nonsymmetric	0	1	0	15	15	1	1.325	0.752	10	
113636	CombPrac2	3	3	pracsymm13.bmp	nonsymmetric	0	1	0	10	10	1	2.352	0.648	10	
113636	1	4	1	symm31.bmp	nonsymmetric	0	1	0	13	13	1	2.018	0.792	6.121801377479453	
113636	1	4	2	symm12.bmp	symmetric	1	1	0	7	6	0	3.248	0.922	6.121801377479453	
113636	1	4	3	symm28.bmp	nonsymmetric	0	1	0	16	16	1	2.343	0.656	6.121801377479453	
113636	1	4	4	symm1.bmp	symmetric	1	1	0	8	8	1	1.635	0.912	6.121801377479453	
113636	2	2	1	symm44.bmp	nonsymmetric	0	1	0	9	9	1	2.565	0.736	6.121801377479453	
113636	2	2	2	symm37.bmp	nonsymmetric	0	1	0	10	10	1	2.527	0.734	6.121801377479453	
113636	3	5	1	symm4.bmp	symmetric	1	1	0	10	5	0	3.054	1.425	6.121801377479453	
113636	3	5	2	symm14.bmp	symmetric	1	1	0	8	7	0	3.28	0.808	6.121801377479453	
113636	3	5	3	symm42.bmp	nonsymmetric	0	1	0	12	10	0	1.746	0.549	6.121801377479453	
113636	3	5	4	symm27.bmp	nonsymmetric	0	1	0	2	8	0	1.933	0.545	6.121801377479453	
113636	3	5	5	symm46.bmp	nonsymmetric	0	1	0	7	0	0	1.387	0.528	6.121801377479453	
113636	4	4	1	symm22.bmp	symmetric	1	1	0	5	5	1	2.437	0.904	6.121801377479453	
113636	4	4	2	symm3.bmp	symmetric	1	1	0	14	14	1	2.181	0.96	6.121801377479453	
113636	4	4	3	symm40.bmp	nonsymmetric	0	1	0	15	15	1	1.792	0.704	6.121801377479453	
113636	4	4	4	symm41.bmp	nonsymmetric	1	0	0	4	4	1	1.827	1.176	6.121801377479453	
113636	5	5	1	symm33.bmp	nonsymmetric	0	1	0	7	7	1	3.444	0.816	6.121801377479453	
113636	5	5	2	symm29.bmp	nonsymmetric	0	1	0	11	11	1	1.361	0.784	6.121801377479453	
113636	5	5	3	symm48.bmp	nonsymmetric	0	1	0	14	13	0	1.568	0.689	6.121801377479453	
113636	5	5	4	symm23.bmp	symmetric	1	1	0	12	12	1	2.823	0.816	6.121801377479453	
113636	5	5	5	symm8.bmp	symmetric	1	1	0	13	0	0	1.551	0.73	6.121801377479453	
113636	6	3	1	symm2.bmp	symmetric	1	1	0	12	12	1	4.475	1.119	6.121801377479453	
113636	6	3	2	symm7.bmp	symmetric	1	1	0	9	9	1	2.808	0.729	6.121801377479453	
113636	6	3	3	symm16.bmp	symmetric	1	1	0	8	8	1	2.146	0.86	6.121801377479453	
113636	7	2	1	symm32.bmp	nonsymmetric	0	1	0	1	1	1	1.722	0.673	6.121801377479453	
113636	7	2	2	symm24.bmp	symmetric	1	1	0	16	16	1	1.634	0.569	6.121801377479453	
113636	8	3	1	symm21.bmp	symmetric	1	1	0	16	16	1	1.903	1.081	6.121801377479453	
113636	8	3	2	symm26.bmp	nonsymmetric	0	1	0	2	1	0	2.698	0.696	6.121801377479453	
113636	8	3	3	symm35.bmp	nonsymmetric	0	1	0	11	11	1	2.194	1.081	6.121801377479453	
113636	9	4	1	symm11.bmp	symmetric	1	1	0	3	3	1	2.575	0.737	6.121801377479453	
113636	9	4	2	symm9.bmp	symmetric	1	1	0	8	8	1	1.452	0.648	6.121801377479453	
113636	9	4	3	symm38.bmp	nonsymmetric	0	1	0	11	11	1	2.512	0.664	6.121801377479453	
113636	9	4	4	symm45.bmp	nonsymmetric	0	1	0	12	12	1	1.648	0.672	6.121801377479453	
113636	10	2	1	symm25.bmp	nonsymmetric	0	1	0	4	4	1	1.69	0.696	6.121801377479453	
113636	10	2	2	symm15.bmp	symmetric	1	1	0	13	13	1	1.77	0.639	6.121801377479453	
113636	11	3	1	symm19.bmp	symmetric	1	1	0	1	1	1	2.624	0.761	6.121801377479453	
113636	11	3	2	symm47.bmp	nonsymmetric	0	1	0	5	5	1	1.122	0.665	6.121801377479453	
113636	11	3	3	symm20.bmp	symmetric	1	1	0	10	10	1	1.715	0.72	6.121801377479453	
113636	12	5	1	symm17.bmp	symmetric	1	1	0	16	12	0	2.667	0.696	6.121801377479453	
113636	12	5	2	symm39.bmp	nonsymmetric	0	1	0	15	16	0	2.031	0.729	6.121801377479453	
113636	12	5	3	symm36.bmp	nonsymmetric	0	1	0	12	5	0	1.742	0.633	6.121801377479453	
113636	12	5	4	symm34.bmp	nonsymmetric	1	0	0	5	1	0	4.365	0.675	6.121801377479453	
113636	12	5	5	symm30.bmp	nonsymmetric	0	1	0	1	0	0	2.779	0.759	6.121801377479453	
