SUBJNO	BLOCKNUM	BLOCKSIZE	NUMINBLOCK	TERM1	OP	TERM2	TERM3	ANSWER	PROBE	PROBETYPE	DIFFIC	MATHRESP	MATHACC	TIMEOUT	TBRLETTER	TYPED	RECALLED	MATHTIME	TFTIME	MAXTIME	
104609	Cal	15	1	7	*	7	1	50	48	0	4	0	1	0	-	NA	-1	1.014	0.937	10	
104609	Cal	15	2	6	/	2	1	4	4	1	1	1	1	0	-	NA	-1	1.242	0.705	10	
104609	Cal	15	3	7	*	9	1	64	63	0	4	0	1	0	-	NA	-1	0.795	0.841	10	
104609	Cal	15	4	1	*	2	1	3	3	1	1	1	1	0	-	NA	-1	0.864	0.665	10	
104609	Cal	15	5	9	/	1	9	18	18	1	1	1	1	0	-	NA	-1	1.571	0.736	10	
104609	Cal	15	6	1	*	4	7	11	7	0	1	0	1	0	-	NA	-1	2.365	1.01	10	
104609	Cal	15	7	4	*	6	-9	15	20	0	3	0	1	0	-	NA	-1	1.451	0.97	10	
104609	Cal	15	8	6	*	8	5	53	53	1	4	1	1	0	-	NA	-1	1.045	0.665	10	
104609	Cal	15	9	5	*	9	-5	40	43	0	4	0	1	0	-	NA	-1	1.745	0.728	10	
104609	Cal	15	10	9	/	9	4	5	11	0	1	0	1	0	-	NA	-1	1.751	0.954	10	
104609	Cal	15	11	4	*	9	-2	34	34	1	3	1	1	0	-	NA	-1	1.101	0.922	10	
104609	Cal	15	12	3	*	5	-8	7	7	1	2	1	1	0	-	NA	-1	1.05	1.153	10	
104609	Cal	15	13	8	/	4	8	10	17	0	1	0	1	0	-	NA	-1	1.336	1.706	10	
104609	Cal	15	14	5	*	8	5	45	45	1	4	1	1	0	-	NA	-1	1.051	0.68	10	
104609	Cal	15	15	6	*	7	-7	35	35	1	4	1	1	0	-	NA	-1	1.592	0.889	10	
104609	Prac1	2	1	6	/	3	2	4	10	0	1	0	1	0	H	h	1	1.173	0.867	3.5593409112058145	
104609	Prac1	2	2	7	*	5	6	41	41	1	3	0	0	0	N	n	1	1.38	0.844	3.5593409112058145	
104609	Prac2	3	1	2	*	7	-8	6	2	0	2	0	1	0	J	h	0	1.461	1.553	3.5593409112058145	
104609	Prac2	3	2	2	*	9	5	23	28	0	2	NA	0	1	R	l	0	3.5593409112058145	0	3.5593409112058145	
