SUBJNO	BLOCKNUM	BLOCKSIZE	NUMINBLOCK	TERM1	OP	TERM2	TERM3	ANSWER	PROBE	PROBETYPE	DIFFIC	MATHRESP	MATHACC	TIMEOUT	TBRLETTER	TYPED	RECALLED	MATHTIME	TFTIME	MAXTIME	
193255	Cal	15	1	7	*	7	1	50	56	0	4	0	1	0	-	NA	-1	1.756	1.418	10	
193255	Cal	15	2	6	/	2	6	9	9	1	1	1	1	0	-	NA	-1	2.047	0.947	10	
193255	Cal	15	3	7	*	9	-8	55	55	1	4	0	0	0	-	NA	-1	3.068	1.007	10	
193255	Cal	15	4	1	*	2	3	5	5	1	1	1	1	0	-	NA	-1	1.871	0.7	10	
193255	Cal	15	5	9	/	1	2	11	9	0	1	0	1	0	-	NA	-1	1.566	1.153	10	
193255	Cal	15	6	1	*	4	3	7	7	1	1	1	1	0	-	NA	-1	1.73	0.773	10	
193255	Cal	15	7	4	*	6	8	32	32	1	3	1	1	0	-	NA	-1	1.592	0.75	10	
193255	Cal	15	8	6	*	8	-3	45	44	0	4	0	1	0	-	NA	-1	1.77	0.984	10	
193255	Cal	15	9	5	*	9	-8	37	37	1	4	1	1	0	-	NA	-1	2.354	1.253	10	
193255	Cal	15	10	9	/	9	8	9	9	1	1	1	1	0	-	NA	-1	1.975	0.7	10	
193255	Cal	15	11	4	*	9	3	39	39	1	3	1	1	0	-	NA	-1	2.891	0.676	10	
193255	Cal	15	12	3	*	5	-7	8	7	0	2	0	1	0	-	NA	-1	1.956	0.971	10	
193255	Cal	15	13	8	/	4	-1	1	3	0	1	0	1	0	-	NA	-1	1.966	1.437	10	
193255	Cal	15	14	5	*	8	-2	38	37	0	4	0	1	0	-	NA	-1	1.765	0.919	10	
193255	Cal	15	15	6	*	7	-9	33	25	0	4	0	1	0	-	NA	-1	2.426	1.254	10	
193255	Prac1	2	1	6	/	3	7	9	4	0	1	0	1	0	N	n	1	1.999	0.948	4.327542466576226	
193255	Prac1	2	2	7	*	5	5	40	40	1	3	1	1	0	P	p	1	2.169	0.813	4.327542466576226	
193255	Prac2	3	1	2	*	7	6	20	26	0	2	0	1	0	S	s	1	1.566	1.219	4.327542466576226	
193255	Prac2	3	2	2	*	9	2	20	20	1	2	1	1	0	H	h	1	1.274	0.713	4.327542466576226	
193255	Prac2	3	3	8	*	7	2	58	58	1	4	1	1	0	T	t	1	2.482	0.773	4.327542466576226	
193255	3	6	1	1	*	5	-1	4	4	1	1	1	1	0	H	h	1	1.986	1.095	4.327542466576226	
193255	3	6	2	4	*	3	9	21	21	1	2	1	1	0	L	l	1	2.45	0.773	4.327542466576226	
193255	3	6	3	7	/	7	7	8	1	0	1	0	1	0	S	s	1	1.597	1.167	4.327542466576226	
193255	3	6	4	1	*	9	9	18	27	0	1	0	1	0	Y	y	1	2.744	0.972	4.327542466576226	
193255	3	6	5	4	/	4	2	3	4	0	1	0	1	0	Q	q	1	1.593	0.874	4.327542466576226	
193255	3	6	6	7	*	4	-3	25	25	1	3	NA	0	1	P	p	1	4.327542466576226	0	4.327542466576226	
193255	4	4	1	1	/	1	6	7	7	1	1	1	1	0	H	h	1	2.21	0.688	4.327542466576226	
193255	4	4	2	2	/	1	-1	1	8	0	1	0	1	0	T	t	1	2.181	0.797	4.327542466576226	
193255	4	4	3	3	/	1	6	9	9	1	1	1	1	0	J	j	1	2.021	0.651	4.327542466576226	
193255	4	4	4	2	*	5	1	11	4	0	2	0	1	0	N	n	1	1.911	0.676	4.327542466576226	
193255	5	3	1	8	*	6	1	49	49	1	4	1	1	0	S	s	1	2.02	1.031	4.327542466576226	
193255	5	3	2	1	*	8	-6	2	2	1	1	1	1	0	Y	y	1	1.494	0.946	4.327542466576226	
193255	5	3	3	7	*	8	4	60	68	0	4	0	1	0	J	j	1	2.451	0.848	4.327542466576226	
193255	6	5	1	3	*	7	-4	17	10	0	3	0	1	0	R	r	1	2.773	0.898	4.327542466576226	
193255	6	5	2	8	/	8	3	4	4	1	1	1	1	0	H	h	1	1.65	0.663	4.327542466576226	
193255	6	5	3	9	*	5	7	52	51	0	4	0	1	0	T	t	1	1.459	0.848	4.327542466576226	
193255	6	5	4	8	*	9	7	79	79	1	4	1	1	0	P	p	1	1.605	0.726	4.327542466576226	
193255	6	5	5	4	*	5	-4	16	16	1	3	1	1	0	L	l	1	1.158	0.908	4.327542466576226	
193255	7	7	1	5	*	7	-7	28	35	0	3	0	1	0	K	k	1	2.734	0.996	4.327542466576226	
193255	7	7	2	4	*	4	-7	9	9	1	2	1	1	0	R	r	1	1.769	0.637	4.327542466576226	
193255	7	7	3	3	/	3	1	2	2	1	1	1	1	0	F	f	1	1.605	0.627	4.327542466576226	
193255	7	7	4	2	*	4	-7	1	1	1	1	1	1	0	J	j	1	1.734	0.725	4.327542466576226	
193255	7	7	5	3	*	6	3	21	21	1	2	0	0	0	P	p	1	2.487	0.912	4.327542466576226	
193255	7	7	6	9	*	7	3	66	61	0	4	0	1	0	Q	q	1	2.736	0.835	4.327542466576226	
193255	7	7	7	8	/	1	2	10	1	0	1	NA	0	1	N	n	1	4.327542466576226	0	4.327542466576226	
193255	8	5	1	3	*	3	-3	6	2	0	1	0	1	0	F	f	1	1.844	0.909	4.327542466576226	
193255	8	5	2	6	*	5	1	31	31	1	3	1	1	0	Q	q	1	1.321	0.626	4.327542466576226	
193255	8	5	3	7	*	3	-8	13	13	1	3	1	1	0	P	p	1	1.948	0.773	4.327542466576226	
193255	8	5	4	1	*	7	7	14	14	1	1	1	1	0	K	k	1	1.534	0.713	4.327542466576226	
193255	8	5	5	9	*	3	-9	18	21	0	3	NA	0	1	R	r	1	4.327542466576226	0	4.327542466576226	
193255	9	4	1	8	*	3	7	31	31	1	3	1	1	0	T	t	1	1.712	0.653	4.327542466576226	
193255	9	4	2	9	*	6	5	59	59	1	4	1	1	0	L	l	1	1.938	0.676	4.327542466576226	
193255	9	4	3	6	*	2	-6	6	15	0	2	0	1	0	Q	q	1	1.295	0.738	4.327542466576226	
193255	9	4	4	8	*	5	2	42	51	0	4	0	1	0	H	h	1	1.237	0.726	4.327542466576226	
193255	10	3	1	3	*	4	-2	10	10	1	2	1	1	0	Q	q	1	1.3	0.639	4.327542466576226	
193255	10	3	2	9	/	3	7	10	10	1	1	1	1	0	L	l	1	1.89	0.615	4.327542466576226	
193255	10	3	3	6	*	4	-4	20	19	0	3	0	1	0	P	p	1	1.262	1.302	4.327542466576226	
193255	11	6	1	4	*	7	1	29	29	1	3	1	1	0	J	j	1	1.544	0.726	4.327542466576226	
193255	11	6	2	7	/	1	-1	6	4	0	1	0	1	0	Q	q	1	1.945	0.737	4.327542466576226	
193255	11	6	3	5	*	3	-1	14	14	1	2	1	1	0	L	l	1	1.348	0.774	4.327542466576226	
193255	11	6	4	8	*	8	8	72	75	0	4	0	1	0	N	n	1	1.959	0.798	4.327542466576226	
193255	11	6	5	6	*	3	2	20	28	0	2	0	1	0	K	k	1	2.122	0.799	4.327542466576226	
193255	11	6	6	5	*	5	-7	18	18	1	3	1	1	0	Y	y	1	3.176	0.837	4.327542466576226	
193255	12	7	1	5	*	6	7	37	37	1	3	0	0	0	J	j	1	1.704	0.91	4.327542466576226	
193255	12	7	2	6	/	1	6	12	12	1	1	1	1	0	F	f	1	2.074	0.639	4.327542466576226	
193255	12	7	3	3	*	2	8	14	22	0	1	0	1	0	P	p	1	1.659	0.712	4.327542466576226	
193255	12	7	4	5	*	4	2	22	22	1	3	1	1	0	T	t	1	1.067	0.626	4.327542466576226	
193255	12	7	5	8	*	2	3	19	19	1	2	1	1	0	L	l	1	1.227	0.675	4.327542466576226	
193255	12	7	6	4	/	1	-2	2	9	0	1	0	1	0	K	k	1	2.158	0.788	4.327542466576226	
193255	12	7	7	6	*	6	4	40	33	0	3	0	1	0	Y	y	1	2.329	1.008	4.327542466576226	
193255	13	6	1	4	*	8	8	40	40	1	3	1	1	0	Q	q	1	1.869	0.627	4.327542466576226	
193255	13	6	2	1	*	3	3	6	15	0	1	0	1	0	L	l	1	1.138	1.13	4.327542466576226	
193255	13	6	3	2	/	2	7	8	9	0	1	0	1	0	P	p	1	2.145	0.7	4.327542466576226	
