SUBJNO	BLOCKNUM	BLOCKSIZE	NUMINBLOCK	TERM1	OP	TERM2	TERM3	ANSWER	PROBE	PROBETYPE	DIFFIC	MATHRESP	MATHACC	TIMEOUT	TBRLETTER	TYPED	RECALLED	MATHTIME	TFTIME	MAXTIME	
094830	Cal	15	1	7	*	7	9	58	58	1	4	1	1	0	-	NA	-1	4.969	0.796	10	
094830	Cal	15	2	6	/	2	4	7	9	0	1	0	1	0	-	NA	-1	1.656	0.688	10	
094830	Cal	15	3	7	*	9	-3	60	51	0	4	0	1	0	-	NA	-1	2.766	0.812	10	
094830	Cal	15	4	1	*	2	2	4	4	1	1	1	1	0	-	NA	-1	1.797	0.609	10	
094830	Cal	15	5	9	/	1	-2	7	5	0	1	0	1	0	-	NA	-1	1.641	0.766	10	
094830	Cal	15	6	1	*	4	2	6	1	0	1	0	1	0	-	NA	-1	1.203	0.922	10	
094830	Cal	15	7	4	*	6	-4	20	20	1	3	1	1	0	-	NA	-1	1.281	0.781	10	
094830	Cal	15	8	6	*	8	-4	44	37	0	4	0	1	0	-	NA	-1	1.359	0.797	10	
094830	Cal	15	9	5	*	9	-4	41	35	0	4	0	1	0	-	NA	-1	1.36	0.906	10	
094830	Cal	15	10	9	/	9	6	7	7	1	1	1	1	0	-	NA	-1	2.094	0.562	10	
094830	Cal	15	11	4	*	9	1	37	37	1	3	0	0	0	-	NA	-1	0.188	1.422	10	
094830	Cal	15	12	3	*	5	1	16	16	1	2	1	1	0	-	NA	-1	1.328	0.704	10	
094830	Cal	15	13	8	/	4	5	7	9	0	1	0	1	0	-	NA	-1	1.829	0.89	10	
094830	Cal	15	14	5	*	8	3	43	43	1	4	1	1	0	-	NA	-1	1.437	0.641	10	
094830	Cal	15	15	6	*	7	8	50	50	1	4	1	1	0	-	NA	-1	1.891	0.625	10	
094830	Prac1	2	1	6	/	3	-1	1	1	1	1	1	1	0	T	t	1	3.234	1.047	5.039212912118577	
094830	Prac1	2	2	7	*	5	-1	34	43	0	3	0	1	0	S	s	1	3.062	0.828	5.039212912118577	
094830	Prac2	3	1	2	*	7	4	18	27	0	2	0	1	0	F	f	1	1.719	0.953	5.039212912118577	
094830	Prac2	3	2	2	*	9	-5	13	13	1	2	1	1	0	L	l	1	1.579	0.968	5.039212912118577	
094830	Prac2	3	3	8	*	7	1	57	66	0	4	0	1	0	R	r	1	1.719	0.765	5.039212912118577	
094830	3	6	1	1	*	5	1	6	10	0	1	0	1	0	Q	q	1	1.625	0.985	5.039212912118577	
094830	3	6	2	4	*	3	-9	3	3	1	2	1	1	0	K	k	1	3.328	0.953	5.039212912118577	
094830	3	6	3	7	/	7	6	7	7	1	1	1	1	0	L	l	1	1.781	1	5.039212912118577	
094830	3	6	4	1	*	9	-1	8	12	0	1	0	1	0	T	t	1	1.891	1.172	5.039212912118577	
094830	3	6	5	4	/	4	8	9	13	0	1	0	1	0	P	p	1	1.859	0.781	5.039212912118577	
094830	3	6	6	7	*	4	5	33	33	1	3	1	1	0	F	d	0	2.922	0.906	5.039212912118577	
094830	4	4	1	1	/	1	3	4	4	1	1	1	1	0	H	-	0	1.734	1.563	5.039212912118577	
094830	4	4	2	2	/	1	9	11	7	0	1	0	1	0	R	-	0	3.781	1.079	5.039212912118577	
094830	4	4	3	3	/	1	8	11	14	0	1	NA	0	1	N	-	0	5.039212912118577	0	5.039212912118577	
094830	4	4	4	2	*	5	4	14	14	1	2	1	1	0	K	k	1	2.266	2.266	5.039212912118577	
094830	5	3	1	8	*	6	-4	44	44	1	4	1	1	0	S	-	0	2.157	1.343	5.039212912118577	
094830	5	3	2	1	*	8	-5	3	3	1	1	NA	0	1	J	j	1	5.039212912118577	0	5.039212912118577	
094830	5	3	3	7	*	8	-6	50	49	0	4	0	1	0	Y	y	1	0.203	1.703	5.039212912118577	
094830	6	5	1	3	*	7	9	30	30	1	3	1	1	0	P	-	0	2.094	0.703	5.039212912118577	
094830	6	5	2	8	/	8	2	3	8	0	1	0	1	0	R	-	0	2.329	0.922	5.039212912118577	
094830	6	5	3	9	*	5	2	47	45	0	4	0	1	0	J	-	0	2.531	1.031	5.039212912118577	
094830	6	5	4	8	*	9	-5	67	75	0	4	NA	0	1	Y	-	0	5.039212912118577	0	5.039212912118577	
094830	6	5	5	4	*	5	-4	16	16	1	3	1	1	0	N	n	1	0.063	2.89	5.039212912118577	
094830	7	7	1	5	*	7	-4	31	40	0	3	0	1	0	N	-	0	2.937	0.703	5.039212912118577	
094830	7	7	2	4	*	4	-4	12	12	1	2	1	1	0	T	-	0	1.797	0.968	5.039212912118577	
094830	7	7	3	3	/	3	4	5	5	1	1	1	1	0	F	-	0	1.968	0.766	5.039212912118577	
094830	7	7	4	2	*	4	-3	5	5	1	1	1	1	0	J	-	0	1.937	0.813	5.039212912118577	
094830	7	7	5	3	*	6	3	21	24	0	2	0	1	0	Y	-	0	3.156	1.672	5.039212912118577	
094830	7	7	6	9	*	7	-1	62	62	1	4	1	1	0	R	-	0	4.172	0.703	5.039212912118577	
094830	7	7	7	8	/	1	4	12	10	0	1	0	1	0	L	l	1	2.515	0.922	5.039212912118577	
094830	8	5	1	3	*	3	8	17	17	1	1	1	1	0	N	-	0	2.625	0.859	5.039212912118577	
094830	8	5	2	6	*	5	1	31	28	0	3	0	1	0	L	-	0	2.344	0.969	5.039212912118577	
094830	8	5	3	7	*	3	4	25	29	0	3	0	1	0	T	t	1	2.688	1	5.039212912118577	
094830	8	5	4	1	*	7	5	12	12	1	1	1	1	0	K	k	1	1.579	1.187	5.039212912118577	
