SUBJNO	BLOCKNUM	BLOCKSIZE	NUMINBLOCK	TERM1	OP	TERM2	TERM3	ANSWER	PROBE	PROBETYPE	DIFFIC	MATHRESP	MATHACC	TIMEOUT	TBRLETTER	TYPED	RECALLED	MATHTIME	TFTIME	MAXTIME	
092112	Cal	15	1	7	*	7	-1	48	55	0	4	1	0	0	-	NA	-1	3.224	1.24	10	
092112	Cal	15	2	6	/	2	-1	2	9	0	1	0	1	0	-	NA	-1	3.551	1.447	10	
092112	Cal	15	3	7	*	9	-9	54	54	1	4	1	1	0	-	NA	-1	1.992	1.808	10	
092112	Cal	15	4	1	*	2	6	8	8	1	1	1	1	0	-	NA	-1	2.278	1.409	10	
092112	Cal	15	5	9	/	1	1	10	15	0	1	0	1	0	-	NA	-1	2.987	1.184	10	
092112	Cal	15	6	1	*	4	9	13	18	0	1	0	1	0	-	NA	-1	2.377	1.544	10	
092112	Cal	15	7	4	*	6	4	28	28	1	3	0	0	0	-	NA	-1	1.78	1.401	10	
092112	Cal	15	8	6	*	8	-6	42	50	0	4	0	1	0	-	NA	-1	1.252	1.801	10	
092112	Cal	15	9	5	*	9	6	51	46	0	4	0	1	0	-	NA	-1	2.825	1.208	10	
092112	Cal	15	10	9	/	9	5	6	8	0	1	0	1	0	-	NA	-1	1.734	1.512	10	
092112	Cal	15	11	4	*	9	-1	35	34	0	3	1	0	0	-	NA	-1	2.837	1.369	10	
092112	Cal	15	12	3	*	5	1	16	16	1	2	0	0	0	-	NA	-1	0.242	1.53	10	
092112	Cal	15	13	8	/	4	-1	1	1	1	1	1	1	0	-	NA	-1	3.725	1.08	10	
092112	Cal	15	14	5	*	8	5	45	45	1	4	1	1	0	-	NA	-1	1.836	2.2	10	
092112	Cal	15	15	6	*	7	-3	39	39	1	4	1	1	0	-	NA	-1	3.058	1.088	10	
092112	Prac1	2	1	6	/	3	8	10	10	1	1	1	1	0	R	p	0	1.916	1.184	5.815381050855589	
092112	Prac1	2	2	7	*	5	7	42	38	0	3	0	1	0	L	l	1	2.007	1.92	5.815381050855589	
092112	Prac2	3	1	2	*	7	1	15	15	1	2	1	1	0	N	r	0	4.17	1.184	5.815381050855589	
092112	Prac2	3	2	2	*	9	5	23	22	0	2	1	0	0	Q	q	1	3.145	0.929	5.815381050855589	
092112	Prac2	3	3	8	*	7	1	57	57	1	4	1	1	0	S	s	1	3.199	0.688	5.815381050855589	
092112	3	6	1	1	*	5	-2	3	3	1	1	1	1	0	Q	q	1	2.343	1.032	5.815381050855589	
092112	3	6	2	4	*	3	-7	5	5	1	2	1	1	0	Y	r	0	2.672	1.623	5.815381050855589	
092112	3	6	3	7	/	7	6	7	7	1	1	1	1	0	T	t	1	3.697	0.936	5.815381050855589	
092112	3	6	4	1	*	9	3	12	5	0	1	0	1	0	S	s	1	2.695	1.185	5.815381050855589	
092112	3	6	5	4	/	4	7	8	7	0	1	0	1	0	H	q	0	2.043	2.69	5.815381050855589	
092112	3	6	6	7	*	4	-9	19	11	0	3	0	1	0	P	-	0	1.565	0.793	5.815381050855589	
092112	4	4	1	1	/	1	6	7	13	0	1	0	1	0	Q	q	1	2.141	1.409	5.815381050855589	
092112	4	4	2	2	/	1	8	10	10	1	1	NA	0	1	R	r	1	5.815381050855589	0	5.815381050855589	
092112	4	4	3	3	/	1	-1	2	5	0	1	0	1	0	N	w	0	2.577	0.873	5.815381050855589	
092112	4	4	4	2	*	5	-9	1	1	1	2	1	1	0	J	j	1	2.702	1.057	5.815381050855589	
092112	5	3	1	8	*	6	7	55	55	1	4	0	0	0	Q	r	0	1.821	1.809	5.815381050855589	
092112	5	3	2	1	*	8	6	14	14	1	1	1	1	0	H	q	0	1.428	1.424	5.815381050855589	
092112	5	3	3	7	*	8	3	59	54	0	4	1	0	0	Y	y	1	0.392	0.673	5.815381050855589	
092112	6	5	1	3	*	7	1	22	25	0	3	0	1	0	Y	y	1	2.208	1.241	5.815381050855589	
092112	6	5	2	8	/	8	4	5	5	1	1	1	1	0	K	k	1	2.806	1.105	5.815381050855589	
092112	6	5	3	9	*	5	-3	42	42	1	4	1	1	0	S	s	1	2.52	2.057	5.815381050855589	
092112	6	5	4	8	*	9	-5	67	67	1	4	1	1	0	Q	q	1	2.575	1.217	5.815381050855589	
092112	6	5	5	4	*	5	8	28	34	0	3	0	1	0	L	w	0	1.511	1.008	5.815381050855589	
092112	7	7	1	5	*	7	-1	34	34	1	3	1	1	0	J	a	0	1.582	1.136	5.815381050855589	
092112	7	7	2	4	*	4	2	18	18	1	2	0	0	0	L	e	0	2.24	1	5.815381050855589	
092112	7	7	3	3	/	3	6	7	14	0	1	0	1	0	T	g	0	2.691	1.225	5.815381050855589	
092112	7	7	4	2	*	4	5	13	11	0	1	1	0	0	Y	d	0	2.687	1.641	5.815381050855589	
092112	7	7	5	3	*	6	-6	12	12	1	2	1	1	0	P	v	0	2.873	1.687	5.815381050855589	
092112	7	7	6	9	*	7	6	69	69	1	4	0	0	0	K	e	0	2.378	1.225	5.815381050855589	
092112	7	7	7	8	/	1	8	16	9	0	1	0	1	0	S	e	0	1.984	1.522	5.815381050855589	
092112	8	5	1	3	*	3	6	15	15	1	1	0	0	0	N	q	0	2.451	1.257	5.815381050855589	
