SUBN	TRIAL	STUDY.TEST	WORD1	WORD2	POINTS	WORD2RESP	ACC	
083549	1	STUDY	party	friend	2	NA	NA	
083549	2	STUDY	defeat	battle	2	NA	NA	
083549	3	STUDY	saint	priest	0	NA	NA	
083549	4	STUDY	pig	dirt	5	NA	NA	
083549	5	STUDY	bath	house	3	NA	NA	
083549	6	STUDY	snake	ugly	5	NA	NA	
083549	7	STUDY	tale	end	2	NA	NA	
083549	8	STUDY	damp	stink	0	NA	NA	
083549	9	STUDY	coast	float	5	NA	NA	
083549	10	STUDY	shame	abuse	2	NA	NA	
083549	11	STUDY	peel	apple	3	NA	NA	
083549	12	STUDY	circus	lion	4	NA	NA	
083549	13	STUDY	grove	group	0	NA	NA	
083549	14	STUDY	space	black	0	NA	NA	
083549	15	STUDY	build	add	1	NA	NA	
083549	16	STUDY	dizzy	confuse	4	NA	NA	
083549	17	STUDY	throw	move	3	NA	NA	
083549	18	STUDY	bead	rain	4	NA	NA	
083549	19	STUDY	beat	blend	5	NA	NA	
083549	20	STUDY	chief	major	2	NA	NA	
083549	21	STUDY	piano	man	4	NA	NA	
083549	22	STUDY	stay	home	4	NA	NA	
083549	23	STUDY	dawn	night	1	NA	NA	
083549	24	STUDY	artist	picture	1	NA	NA	
083549	25	STUDY	curve	girl	5	NA	NA	
083549	26	STUDY	grave	bad	5	NA	NA	
083549	27	STUDY	marsh	field	4	NA	NA	
083549	28	STUDY	shop	keeper	3	NA	NA	
083549	29	STUDY	cost	lot	3	NA	NA	
083549	30	STUDY	collar	blouse	1	NA	NA	
083549	31	STUDY	choose	freedom	3	NA	NA	
083549	32	STUDY	barrel	drum	2	NA	NA	
083549	33	STUDY	support	love	0	NA	NA	
083549	34	STUDY	tumble	mat	5	NA	NA	
083549	35	STUDY	student	stress	5	NA	NA	
083549	36	STUDY	stare	rude	3	NA	NA	
083549	37	STUDY	marry	family	3	NA	NA	
083549	38	STUDY	taboo	norm	1	NA	NA	
083549	39	STUDY	search	lost	1	NA	NA	
083549	40	STUDY	maid	honor	2	NA	NA	
083549	41	STUDY	coin	bill	0	NA	NA	
083549	42	STUDY	math	test	0	NA	NA	
083549	43	STUDY	mask	scuba	5	NA	NA	
083549	44	STUDY	vacate	evacuate	0	NA	NA	
083549	45	STUDY	contact	apart	2	NA	NA	
083549	46	STUDY	spool	pool	1	NA	NA	
083549	47	STUDY	stalk	kill	2	NA	NA	
083549	48	STUDY	demand	take	3	NA	NA	
083549	49	STUDY	tomato	hot	4	NA	NA	
083549	50	STUDY	sleeve	jacket	4	NA	NA	
083549	51	STUDY	crowd	big	4	NA	NA	
083549	52	STUDY	paint	smell	1	NA	NA	
083549	53	STUDY	grow	rise	1	NA	NA	
083549	54	STUDY	beer	taste	0	NA	NA	
083549	1	TEST	coin	bill	0	purse 	0	
083549	2	TEST	circus	lion	4	skip	0	
083549	3	TEST	student	stress	5	stress	1	
083549	4	TEST	barrel	drum	2	drum	1	
083549	5	TEST	crowd	big	4	surf	0	
083549	6	TEST	damp	stink	0	smell	0	
083549	7	TEST	bath	house	3	house	1	
083549	8	TEST	beat	blend	5	skip	0	
083549	9	TEST	artist	picture	1	picture	1	
083549	10	TEST	saint	priest	0	priest	1	
083549	11	TEST	cost	lot	3	lot	1	
083549	12	TEST	dizzy	confuse	4	skip	0	
083549	13	TEST	chief	major	2	major	1	
083549	14	TEST	beer	taste	0	taste	1	
083549	15	TEST	bead	rain	4	rain	1	
083549	16	TEST	party	friend	2	friend	1	
083549	17	TEST	paint	smell	1	can	0	
083549	18	TEST	taboo	norm	1	norm	1	
083549	19	TEST	demand	take	3	skip	0	
083549	20	TEST	coast	float	5	float	1	
083549	21	TEST	piano	man	4	key	0	
083549	22	TEST	tale	end	2	skip	0	
083549	23	TEST	mask	scuba	5	skip	0	
083549	24	TEST	pig	dirt	5	dirt	1	
083549	25	TEST	marsh	field	4	field	1	
083549	26	TEST	maid	honor	2	skip	0	
083549	27	TEST	curve	girl	5	girl	1	
083549	28	TEST	contact	apart	2	skip	0	
083549	29	TEST	snake	ugly	5	smell	0	
083549	30	TEST	tumble	mat	5	dry	0	
083549	31	TEST	math	test	0	skip	0	
083549	32	TEST	stare	rude	3	skip	0	
083549	33	TEST	dawn	night	1	night	1	
083549	34	TEST	grow	rise	1	skip	0	
083549	35	TEST	marry	family	3	family	1	
083549	36	TEST	build	add	1	skip	0	
083549	37	TEST	stalk	kill	2	kill	1	
083549	38	TEST	sleeve	jacket	4	skip	0	
083549	39	TEST	grove	group	0	tree	0	
083549	40	TEST	throw	move	3	out	0	
083549	41	TEST	search	lost	1	skip	0	
083549	42	TEST	tomato	hot	4	hot	1	
083549	43	TEST	choose	freedom	3	skip	0	
083549	44	TEST	grave	bad	5	skip	0	
083549	45	TEST	collar	blouse	1	blouse	1	
083549	46	TEST	defeat	battle	2	win	0	
083549	47	TEST	peel	apple	3	apple	1	
083549	48	TEST	vacate	evacuate	0	vaccuum	0	
083549	49	TEST	support	love	0	skip	0	
083549	50	TEST	shop	keeper	3	save	0	
083549	51	TEST	stay	home	4	home	1	
083549	52	TEST	spool	pool	1	pool	1	
083549	53	TEST	shame	abuse	2	skip	0	
083549	54	TEST	space	black	0	time	0	
