SUBN	TRIAL	STUDY.TEST	WORD1	WORD2	POINTS	WORD2RESP	ACC	
110559	1	STUDY	vacate	evacuate	0	NA	NA	
110559	2	STUDY	maid	honor	2	NA	NA	
110559	3	STUDY	build	add	1	NA	NA	
110559	4	STUDY	contact	apart	2	NA	NA	
110559	5	STUDY	taboo	norm	1	NA	NA	
110559	6	STUDY	coast	float	5	NA	NA	
110559	7	STUDY	tomato	hot	4	NA	NA	
110559	8	STUDY	stay	home	4	NA	NA	
110559	9	STUDY	bath	house	3	NA	NA	
110559	10	STUDY	space	black	0	NA	NA	
110559	11	STUDY	dizzy	confuse	4	NA	NA	
110559	12	STUDY	collar	blouse	1	NA	NA	
110559	13	STUDY	crowd	big	4	NA	NA	
110559	14	STUDY	marry	family	3	NA	NA	
110559	15	STUDY	choose	freedom	3	NA	NA	
110559	16	STUDY	paint	smell	1	NA	NA	
110559	17	STUDY	barrel	drum	2	NA	NA	
110559	18	STUDY	shame	abuse	2	NA	NA	
110559	19	STUDY	tumble	mat	5	NA	NA	
110559	20	STUDY	defeat	battle	2	NA	NA	
110559	21	STUDY	stalk	kill	2	NA	NA	
110559	22	STUDY	coin	bill	0	NA	NA	
110559	23	STUDY	snake	ugly	5	NA	NA	
110559	24	STUDY	cost	lot	3	NA	NA	
110559	25	STUDY	damp	stink	0	NA	NA	
110559	26	STUDY	grow	rise	1	NA	NA	
110559	27	STUDY	grave	bad	5	NA	NA	
110559	28	STUDY	spool	pool	1	NA	NA	
110559	29	STUDY	curve	girl	5	NA	NA	
110559	30	STUDY	support	love	0	NA	NA	
110559	31	STUDY	saint	priest	0	NA	NA	
110559	32	STUDY	throw	move	3	NA	NA	
110559	33	STUDY	piano	man	4	NA	NA	
110559	34	STUDY	demand	take	3	NA	NA	
110559	35	STUDY	circus	lion	4	NA	NA	
110559	36	STUDY	search	lost	1	NA	NA	
110559	37	STUDY	party	friend	2	NA	NA	
110559	38	STUDY	grove	group	0	NA	NA	
110559	39	STUDY	tale	end	2	NA	NA	
110559	40	STUDY	beat	blend	5	NA	NA	
110559	41	STUDY	mask	scuba	5	NA	NA	
110559	42	STUDY	stare	rude	3	NA	NA	
110559	43	STUDY	student	stress	5	NA	NA	
110559	44	STUDY	math	test	0	NA	NA	
110559	45	STUDY	marsh	field	4	NA	NA	
110559	46	STUDY	pig	dirt	5	NA	NA	
110559	47	STUDY	sleeve	jacket	4	NA	NA	
110559	48	STUDY	artist	picture	1	NA	NA	
110559	49	STUDY	bead	rain	4	NA	NA	
110559	50	STUDY	chief	major	2	NA	NA	
110559	51	STUDY	dawn	night	1	NA	NA	
110559	52	STUDY	peel	apple	3	NA	NA	
110559	53	STUDY	beer	taste	0	NA	NA	
110559	54	STUDY	shop	keeper	3	NA	NA	
110559	1	TEST	bead	rain	4	neck	0	
110559	2	TEST	shame	abuse	2	bad	0	
110559	3	TEST	cost	lot	3	money	0	
110559	4	TEST	dizzy	confuse	4	sleep	0	
110559	5	TEST	snake	ugly	5	pet	0	
110559	6	TEST	dawn	night	1	sky	0	
110559	7	TEST	collar	blouse	1	blouse	1	
110559	8	TEST	student	stress	5	test	0	
110559	9	TEST	pig	dirt	5	snort	0	
110559	10	TEST	coin	bill	0	bill	1	
110559	11	TEST	saint	priest	0	good	0	
110559	12	TEST	stay	home	4	quiet	0	
110559	13	TEST	crowd	big	4	pack	0	
110559	14	TEST	stare	rude	3	space	0	
110559	15	TEST	spool	pool	1	pool	1	
110559	16	TEST	contact	apart	2	list	0	
110559	17	TEST	stalk	kill	2	rose	0	
110559	18	TEST	tumble	mat	5	fall	0	
110559	19	TEST	circus	lion	4	fun	0	
110559	20	TEST	paint	smell	1	job	0	
110559	21	TEST	throw	move	3	toss	0	
110559	22	TEST	grove	group	0	next	0	
110559	23	TEST	barrel	drum	2	drum	1	
110559	24	TEST	chief	major	2	fod	0	
110559	25	TEST	taboo	norm	1	nice	0	
110559	26	TEST	search	lost	1	paper	0	
110559	27	TEST	tale	end	2	story	0	
110559	28	TEST	marsh	field	4	mello	0	
110559	29	TEST	support	love	0	love	1	
110559	30	TEST	build	add	1	create	0	
110559	31	TEST	beat	blend	5	music	0	
110559	32	TEST	space	black	0	stare	0	
110559	33	TEST	artist	picture	1	music	0	
110559	34	TEST	beer	taste	0	drink	0	
110559	35	TEST	shop	keeper	3	price	0	
110559	36	TEST	curve	girl	5	girl	1	
110559	37	TEST	grave	bad	5	sad	0	
110559	38	TEST	choose	freedom	3	pick	0	
110559	39	TEST	party	friend	2	music	0	
110559	40	TEST	piano	man	4	man	1	
110559	41	TEST	tomato	hot	4	hot	1	
110559	42	TEST	defeat	battle	2	victory	0	
110559	43	TEST	math	test	0	school	0	
110559	44	TEST	peel	apple	3	screw	0	
110559	45	TEST	vacate	evacuate	0	empty	0	
110559	46	TEST	mask	scuba	5	scuba	1	
110559	47	TEST	sleeve	jacket	4	shirt	0	
110559	48	TEST	maid	honor	2	honour	0	
110559	49	TEST	damp	stink	0	wet	0	
110559	50	TEST	demand	take	3	yes	0	
110559	51	TEST	bath	house	3	water	0	
110559	52	TEST	coast	float	5	float	1	
110559	53	TEST	grow	rise	1	big	0	
110559	54	TEST	marry	family	3	family	1	
