Subject	BlockNum	BlockSize	NumInBlock	Image	SymmCorrect	SymmResp	SymmAcc	Timeout	Target	TargetResp	Acc	ViewTime	YNTime	MaxTime	
125618	SqPrac1	2	1	NA	NA	NA	NA	NA	8	8	1	NA	NA	10	
125618	SqPrac1	2	2	NA	NA	NA	NA	NA	4	4	1	NA	NA	10	
125618	SqPrac2	3	1	NA	NA	NA	NA	NA	5	5	1	NA	NA	10	
125618	SqPrac2	3	2	NA	NA	NA	NA	NA	10	10	1	NA	NA	10	
125618	SqPrac2	3	3	NA	NA	NA	NA	NA	3	3	1	NA	NA	10	
125618	Symm1	6	1	pracsymm14.bmp	nonsymmetric	0	1	0	NA	NA	NA	5.783	1.337	10	
125618	Symm1	6	2	pracsymm15.bmp	nonsymmetric	0	1	0	NA	NA	NA	4.233	1.177	10	
125618	Symm1	6	3	pracsymm4.bmp	symmetric	1	1	0	NA	NA	NA	3.754	1.056	10	
125618	Symm1	6	4	pracsymm3.bmp	symmetric	1	1	0	NA	NA	NA	3.471	0.929	10	
125618	Symm1	6	5	pracsymm9.bmp	nonsymmetric	0	1	0	NA	NA	NA	1.966	1.113	10	
125618	Symm1	6	6	pracsymm8.bmp	nonsymmetric	NA	0	1	NA	NA	NA	10	0	10	
125618	CombPrac1	2	1	pracsymm12.bmp	nonsymmetric	0	1	0	6	5	0	2.128	1.466	10	
125618	CombPrac1	2	2	pracsymm2.bmp	symmetric	1	1	0	15	15	1	2.184	1.009	10	
125618	CombPrac2	3	1	pracsymm13.bmp	nonsymmetric	0	1	0	3	3	1	6.687	1.041	10	
125618	CombPrac2	3	2	pracsymm10.bmp	nonsymmetric	0	1	0	13	13	1	1.699	0.929	10	
125618	CombPrac2	3	3	pracsymm7.bmp	symmetric	1	1	0	10	10	1	1.682	0.889	10	
125618	1	5	1	symm1.bmp	symmetric	1	1	0	3	3	1	1.85	1.009	10.975202220641826	
125618	1	5	2	symm46.bmp	nonsymmetric	0	1	0	14	6	0	2.784	1.057	10.975202220641826	
125618	1	5	3	symm20.bmp	symmetric	1	1	0	10	9	0	1.39	1.137	10.975202220641826	
125618	1	5	4	symm34.bmp	nonsymmetric	0	1	0	5	8	0	1.322	0.913	10.975202220641826	
125618	1	5	5	symm19.bmp	symmetric	1	1	0	8	0	0	1.192	0.809	10.975202220641826	
125618	2	4	1	symm25.bmp	nonsymmetric	1	0	0	7	2	0	4.031	0.921	10.975202220641826	
125618	2	4	2	symm21.bmp	symmetric	1	1	0	1	10	0	1.313	0.977	10.975202220641826	
125618	2	4	3	symm4.bmp	symmetric	1	1	0	5	9	0	2.405	0.816	10.975202220641826	
125618	2	4	4	symm16.bmp	symmetric	1	1	0	2	15	0	2.516	0.865	10.975202220641826	
125618	3	2	1	symm42.bmp	nonsymmetric	0	1	0	10	1	0	4.455	1.242	10.975202220641826	
125618	3	2	2	symm29.bmp	nonsymmetric	0	1	0	1	5	0	3.341	0.913	10.975202220641826	
125618	4	3	1	symm17.bmp	symmetric	0	0	0	12	3	0	1.333	0.961	10.975202220641826	
125618	4	3	2	symm47.bmp	nonsymmetric	0	1	0	2	12	0	1.448	1.001	10.975202220641826	
125618	4	3	3	symm28.bmp	nonsymmetric	0	1	0	9	9	1	1.046	1.913	10.975202220641826	
125618	5	3	1	symm27.bmp	nonsymmetric	0	1	0	3	3	1	1.571	1.057	10.975202220641826	
125618	5	3	2	symm38.bmp	nonsymmetric	0	1	0	12	8	0	1.665	1.137	10.975202220641826	
125618	5	3	3	symm18.bmp	symmetric	1	1	0	8	10	0	1.378	1.192	10.975202220641826	
125618	6	2	1	symm44.bmp	nonsymmetric	0	1	0	14	13	0	4.614	0.785	10.975202220641826	
125618	6	2	2	symm5.bmp	symmetric	0	0	0	13	14	0	1.573	0.808	10.975202220641826	
125618	7	4	1	symm48.bmp	nonsymmetric	0	1	0	3	2	0	2.581	1.081	10.975202220641826	
125618	7	4	2	symm39.bmp	nonsymmetric	0	1	0	5	7	0	1.898	1.12	10.975202220641826	
125618	7	4	3	symm8.bmp	symmetric	1	1	0	7	7	1	1.235	1.104	10.975202220641826	
125618	7	4	4	symm31.bmp	nonsymmetric	0	1	0	2	7	0	2.204	0.897	10.975202220641826	
125618	8	4	1	symm33.bmp	nonsymmetric	0	1	0	15	3	0	3.69	0.857	10.975202220641826	
125618	8	4	2	symm9.bmp	symmetric	1	1	0	4	12	0	1.476	1.633	10.975202220641826	
125618	8	4	3	symm14.bmp	symmetric	0	0	0	10	10	1	3.48	1.345	10.975202220641826	
125618	8	4	4	symm6.bmp	symmetric	1	1	0	12	0	0	3.185	1.127	10.975202220641826	
125618	9	5	1	symm7.bmp	symmetric	1	1	0	2	11	0	5.424	1.401	10.975202220641826	
125618	9	5	2	symm43.bmp	nonsymmetric	0	1	0	15	3	0	2.951	1.121	10.975202220641826	
125618	9	5	3	symm23.bmp	symmetric	0	0	0	8	8	1	1.727	1.12	10.975202220641826	
125618	9	5	4	symm11.bmp	symmetric	1	1	0	7	0	0	1.403	0.793	10.975202220641826	
125618	9	5	5	symm36.bmp	nonsymmetric	0	1	0	11	0	0	1.802	1.321	10.975202220641826	
125618	10	3	1	symm12.bmp	symmetric	1	1	0	8	15	0	2.698	1.177	10.975202220641826	
125618	10	3	2	symm40.bmp	nonsymmetric	0	1	0	13	2	0	3.678	1.145	10.975202220641826	
125618	10	3	3	symm30.bmp	nonsymmetric	1	0	0	15	0	0	3.821	2.017	10.975202220641826	
125618	11	5	1	symm26.bmp	nonsymmetric	0	1	0	15	3	0	1.842	0.908	10.975202220641826	
125618	11	5	2	symm15.bmp	symmetric	0	0	0	8	11	0	1.814	0.624	10.975202220641826	
125618	11	5	3	symm2.bmp	symmetric	0	0	0	6	10	0	3.349	0.729	10.975202220641826	
125618	11	5	4	symm10.bmp	symmetric	0	0	0	9	9	1	1.169	0.561	10.975202220641826	
125618	11	5	5	symm22.bmp	symmetric	1	1	0	11	0	0	0.734	1.384	10.975202220641826	
125618	12	2	1	symm45.bmp	nonsymmetric	1	0	0	7	0	0	11.709	0.834	10.975202220641826	
125618	12	2	2	symm35.bmp	nonsymmetric	1	0	0	8	0	0	3.223	0.867	10.975202220641826	
