SUBN	TRIAL	STUDY.TEST	WORD1	WORD2	POINTS	WORD2RESP	ACC	
113505	1	STUDY	snake	ugly	5	NA	NA	
113505	2	STUDY	demand	take	3	NA	NA	
113505	3	STUDY	tale	end	2	NA	NA	
113505	4	STUDY	stalk	kill	2	NA	NA	
113505	5	STUDY	build	add	1	NA	NA	
113505	6	STUDY	cost	lot	3	NA	NA	
113505	7	STUDY	beat	blend	5	NA	NA	
113505	8	STUDY	dizzy	confuse	4	NA	NA	
113505	9	STUDY	barrel	drum	2	NA	NA	
113505	10	STUDY	beer	taste	0	NA	NA	
113505	11	STUDY	stare	rude	3	NA	NA	
113505	12	STUDY	student	stress	5	NA	NA	
113505	13	STUDY	maid	honor	2	NA	NA	
113505	14	STUDY	marry	family	3	NA	NA	
113505	15	STUDY	contact	apart	2	NA	NA	
113505	16	STUDY	bead	rain	4	NA	NA	
113505	17	STUDY	coin	bill	0	NA	NA	
113505	18	STUDY	grow	rise	1	NA	NA	
113505	19	STUDY	saint	priest	0	NA	NA	
113505	20	STUDY	support	love	0	NA	NA	
113505	21	STUDY	mask	scuba	5	NA	NA	
113505	22	STUDY	sleeve	jacket	4	NA	NA	
113505	23	STUDY	shop	keeper	3	NA	NA	
113505	24	STUDY	curve	girl	5	NA	NA	
113505	25	STUDY	stay	home	4	NA	NA	
113505	26	STUDY	bath	house	3	NA	NA	
113505	27	STUDY	collar	blouse	1	NA	NA	
113505	28	STUDY	space	black	0	NA	NA	
113505	29	STUDY	marsh	field	4	NA	NA	
113505	30	STUDY	artist	picture	1	NA	NA	
113505	31	STUDY	shame	abuse	2	NA	NA	
113505	32	STUDY	paint	smell	1	NA	NA	
113505	33	STUDY	damp	stink	0	NA	NA	
113505	34	STUDY	piano	man	4	NA	NA	
113505	35	STUDY	search	lost	1	NA	NA	
113505	36	STUDY	throw	move	3	NA	NA	
113505	37	STUDY	spool	pool	1	NA	NA	
113505	38	STUDY	math	test	0	NA	NA	
113505	39	STUDY	party	friend	2	NA	NA	
113505	40	STUDY	choose	freedom	3	NA	NA	
113505	41	STUDY	vacate	evacuate	0	NA	NA	
113505	42	STUDY	defeat	battle	2	NA	NA	
113505	43	STUDY	taboo	norm	1	NA	NA	
113505	44	STUDY	grove	group	0	NA	NA	
113505	45	STUDY	pig	dirt	5	NA	NA	
113505	46	STUDY	tumble	mat	5	NA	NA	
113505	47	STUDY	grave	bad	5	NA	NA	
113505	48	STUDY	tomato	hot	4	NA	NA	
113505	49	STUDY	dawn	night	1	NA	NA	
113505	50	STUDY	crowd	big	4	NA	NA	
113505	51	STUDY	chief	major	2	NA	NA	
113505	52	STUDY	coast	float	5	NA	NA	
113505	53	STUDY	peel	apple	3	NA	NA	
113505	54	STUDY	circus	lion	4	NA	NA	
113505	1	TEST	coin	bill	0	toss	0	
113505	2	TEST	search	lost	1	find	0	
113505	3	TEST	circus	lion	4	lion	1	
113505	4	TEST	cost	lot	3	price	0	
113505	5	TEST	marry	family	3	family	1	
113505	6	TEST	throw	move	3	skip	0	
113505	7	TEST	collar	blouse	1	leash	0	
113505	8	TEST	party	friend	2	friend	1	
113505	9	TEST	space	black	0	skip	0	
113505	10	TEST	student	stress	5	pack	0	
113505	11	TEST	tumble	mat	5	roll	0	
113505	12	TEST	dawn	night	1	light	0	
113505	13	TEST	math	test	0	skip	0	
113505	14	TEST	artist	picture	1	paint	0	
113505	15	TEST	contact	apart	2	space	0	
113505	16	TEST	stalk	kill	2	scare	0	
113505	17	TEST	marsh	field	4	skip	0	
113505	18	TEST	grove	group	0	skip	0	
113505	19	TEST	peel	apple	3	apple	1	
113505	20	TEST	dizzy	confuse	4	stand	0	
113505	21	TEST	spool	pool	1	pool	1	
113505	22	TEST	saint	priest	0	skip	0	
113505	23	TEST	crowd	big	4	big	1	
113505	24	TEST	coast	float	5	swim	0	
113505	25	TEST	tale	end	2	story	0	
113505	26	TEST	beat	blend	5	drum	0	
113505	27	TEST	bead	rain	4	rain	1	
113505	28	TEST	piano	man	4	man	1	
113505	29	TEST	damp	stink	0	stink	1	
113505	30	TEST	defeat	battle	2	lead	0	
113505	31	TEST	build	add	1	house	0	
113505	32	TEST	stare	rude	3	stalk	0	
113505	33	TEST	stay	home	4	home	1	
113505	34	TEST	shame	abuse	2	sin	0	
113505	35	TEST	choose	freedom	3	pick	0	
113505	36	TEST	chief	major	2	stand	0	
113505	37	TEST	curve	girl	5	girl	1	
113505	38	TEST	mask	scuba	5	scuba	1	
113505	39	TEST	shop	keeper	3	mall	0	
113505	40	TEST	snake	ugly	5	ugly	1	
113505	41	TEST	pig	dirt	5	dirt	1	
113505	42	TEST	support	love	0	stay	0	
113505	43	TEST	bath	house	3	bird	0	
113505	44	TEST	taboo	norm	1	safe	0	
113505	45	TEST	sleeve	jacket	4	coat	0	
113505	46	TEST	grow	rise	1	small	0	
113505	47	TEST	demand	take	3	yell	0	
113505	48	TEST	barrel	drum	2	ride	0	
113505	49	TEST	tomato	hot	4	hot	1	
113505	50	TEST	grave	bad	5	plot	0	
113505	51	TEST	paint	smell	1	brush	0	
113505	52	TEST	beer	taste	0	taste	1	
113505	53	TEST	vacate	evacuate	0	room	0	
113505	54	TEST	maid	honor	2	clean	0	
