SUBJNO	BLOCKNUM	BLOCKSIZE	NUMINBLOCK	TERM1	OP	TERM2	TERM3	ANSWER	PROBE	PROBETYPE	DIFFIC	MATHRESP	MATHACC	TIMEOUT	TBRLETTER	TYPED	RECALLED	MATHTIME	TFTIME	MAXTIME	
085101	Cal	15	1	7	*	7	3	52	52	1	4	1	1	0	-	NA	-1	3.601	1.203	10	
085101	Cal	15	2	6	/	2	-2	1	1	1	1	1	1	0	-	NA	-1	1.633	1.211	10	
085101	Cal	15	3	7	*	9	7	70	70	1	4	1	1	0	-	NA	-1	6.669	1.067	10	
085101	Cal	15	4	1	*	2	-1	1	1	1	1	1	1	0	-	NA	-1	1.677	0.941	10	
085101	Cal	15	5	9	/	1	4	13	13	1	1	1	1	0	-	NA	-1	2.536	0.795	10	
085101	Cal	15	6	1	*	4	-1	3	11	0	1	0	1	0	-	NA	-1	1.215	0.859	10	
085101	Cal	15	7	4	*	6	-3	21	21	1	3	1	1	0	-	NA	-1	1.79	0.864	10	
085101	Cal	15	8	6	*	8	5	53	60	0	4	0	1	0	-	NA	-1	6.01	1.224	10	
085101	Cal	15	9	5	*	9	7	52	52	1	4	1	1	0	-	NA	-1	5.537	0.996	10	
085101	Cal	15	10	9	/	9	4	5	4	0	1	0	1	0	-	NA	-1	2.241	1.027	10	
085101	Cal	15	11	4	*	9	-2	34	32	0	3	0	1	0	-	NA	-1	2.296	1.399	10	
085101	Cal	15	12	3	*	5	-6	9	9	1	2	1	1	0	-	NA	-1	2.116	0.748	10	
085101	Cal	15	13	8	/	4	5	7	14	0	1	0	1	0	-	NA	-1	3.124	0.807	10	
085101	Cal	15	14	5	*	8	9	49	58	0	4	0	1	0	-	NA	-1	2.237	1.016	10	
085101	Cal	15	15	6	*	7	-4	38	32	0	4	0	1	0	-	NA	-1	4.005	1.429	10	
085101	Prac1	2	1	6	/	3	6	8	9	0	1	0	1	0	J	j	1	3.969	0.95	8.628059695794468	
085101	Prac1	2	2	7	*	5	-9	26	26	1	3	NA	0	1	Y	y	1	8.628059695794468	0	8.628059695794468	
085101	Prac2	3	1	2	*	7	3	17	17	1	2	1	1	0	N	n	1	2.584	0.741	8.628059695794468	
085101	Prac2	3	2	2	*	9	4	22	18	0	2	0	1	0	F	f	1	3.397	1.336	8.628059695794468	
085101	Prac2	3	3	8	*	7	-7	49	49	1	4	1	1	0	T	t	1	3.743	0.716	8.628059695794468	
085101	3	6	1	1	*	5	5	10	10	1	1	1	1	0	F	f	1	2.096	0.771	8.628059695794468	
085101	3	6	2	4	*	3	-9	3	3	1	2	1	1	0	Q	q	1	2.916	0.707	8.628059695794468	
085101	3	6	3	7	/	7	9	10	19	0	1	0	1	0	N	n	1	2.312	1.325	8.628059695794468	
085101	3	6	4	1	*	9	6	15	12	0	1	0	1	0	L	l	1	4.17	1.336	8.628059695794468	
085101	3	6	5	4	/	4	4	5	8	0	1	0	1	0	Y	y	1	2.193	0.865	8.628059695794468	
085101	3	6	6	7	*	4	3	31	31	1	3	1	1	0	K	k	1	2.487	0.971	8.628059695794468	
085101	4	4	1	1	/	1	5	6	6	1	1	1	1	0	Q	o	0	1.566	0.771	8.628059695794468	
085101	4	4	2	2	/	1	3	5	6	0	1	0	1	0	R	r	1	2.707	0.921	8.628059695794468	
085101	4	4	3	3	/	1	9	12	12	1	1	1	1	0	S	s	1	2.626	0.746	8.628059695794468	
085101	4	4	4	2	*	5	-3	7	13	0	2	0	1	0	F	f	1	3.295	1.048	8.628059695794468	
085101	5	3	1	8	*	6	-1	47	47	1	4	1	1	0	J	j	1	2.866	1.009	8.628059695794468	
085101	5	3	2	1	*	8	-6	2	2	1	1	1	1	0	F	f	1	1.91	1.222	8.628059695794468	
085101	5	3	3	7	*	8	2	58	54	0	4	0	1	0	K	k	1	2.334	0.98	8.628059695794468	
085101	6	5	1	3	*	7	3	24	29	0	3	0	1	0	K	k	1	2.498	1.06	8.628059695794468	
085101	6	5	2	8	/	8	3	4	4	1	1	1	1	0	T	t	1	3.142	0.655	8.628059695794468	
085101	6	5	3	9	*	5	1	46	46	1	4	1	1	0	R	r	1	2.294	0.72	8.628059695794468	
085101	6	5	4	8	*	9	-1	71	74	0	4	1	0	0	N	n	1	1.096	1.282	8.628059695794468	
085101	6	5	5	4	*	5	1	21	21	1	3	1	1	0	J	j	1	1.892	0.773	8.628059695794468	
085101	7	7	1	5	*	7	2	37	34	0	3	0	1	0	F	f	1	2.638	0.79	8.628059695794468	
085101	7	7	2	4	*	4	-2	14	23	0	2	0	1	0	Y	y	1	4.436	0.927	8.628059695794468	
085101	7	7	3	3	/	3	1	2	2	1	1	1	1	0	H	h	1	1.851	0.75	8.628059695794468	
085101	7	7	4	2	*	4	-5	3	3	1	1	1	1	0	L	l	1	3.945	1.019	8.628059695794468	
085101	7	7	5	3	*	6	-7	11	11	1	2	1	1	0	R	r	1	2.406	0.842	8.628059695794468	
085101	7	7	6	9	*	7	9	72	73	0	4	0	1	0	T	t	1	4.117	1.177	8.628059695794468	
085101	7	7	7	8	/	1	1	9	3	0	1	0	1	0	N	n	1	2.364	0.737	8.628059695794468	
085101	8	5	1	3	*	3	-7	2	8	0	1	0	1	0	L	l	1	1.425	0.969	8.628059695794468	
085101	8	5	2	6	*	5	1	31	34	0	3	0	1	0	R	r	1	2.991	0.814	8.628059695794468	
085101	8	5	3	7	*	3	9	30	30	1	3	1	1	0	F	f	1	2.762	0.667	8.628059695794468	
085101	8	5	4	1	*	7	8	15	15	1	1	1	1	0	S	s	1	1.956	0.701	8.628059695794468	
085101	8	5	5	9	*	3	1	28	27	0	3	0	1	0	Y	y	1	2.804	0.871	8.628059695794468	
085101	9	4	1	8	*	3	-6	18	25	0	3	0	1	0	Q	q	1	2.784	1.304	8.628059695794468	
085101	9	4	2	9	*	6	-1	53	53	1	4	1	1	0	L	l	1	3.355	2.211	8.628059695794468	
085101	9	4	3	6	*	2	-3	9	9	1	2	0	0	0	K	k	1	2.16	1.074	8.628059695794468	
085101	9	4	4	8	*	5	-8	32	34	0	4	0	1	0	F	f	1	2.349	1.069	8.628059695794468	
085101	10	3	1	3	*	4	9	21	21	1	2	1	1	0	H	h	1	1.477	2.091	8.628059695794468	
085101	10	3	2	9	/	3	4	7	7	1	1	1	1	0	L	l	1	2.592	0.782	8.628059695794468	
085101	10	3	3	6	*	4	-8	16	14	0	3	0	1	0	P	p	1	4.215	3.296	8.628059695794468	
085101	11	6	1	4	*	7	8	36	36	1	3	1	1	0	Y	y	1	2.507	1.383	8.628059695794468	
085101	11	6	2	7	/	1	-3	4	8	0	1	0	1	0	H	h	1	1.923	0.854	8.628059695794468	
085101	11	6	3	5	*	3	3	18	18	1	2	1	1	0	Q	q	1	1.725	0.832	8.628059695794468	
085101	11	6	4	8	*	8	3	67	67	1	4	1	1	0	K	k	1	2.173	1.078	8.628059695794468	
085101	11	6	5	6	*	3	-3	15	21	0	2	0	1	0	J	j	1	2.171	0.998	8.628059695794468	
085101	11	6	6	5	*	5	-7	18	16	0	3	0	1	0	N	n	1	2.233	2.092	8.628059695794468	
085101	12	7	1	5	*	6	-5	25	28	0	3	0	1	0	F	f	1	1.602	0.921	8.628059695794468	
085101	12	7	2	6	/	1	4	10	10	1	1	1	1	0	R	r	1	3.695	0.663	8.628059695794468	
085101	12	7	3	3	*	2	1	7	7	1	1	1	1	0	J	j	1	2.088	1.145	8.628059695794468	
085101	12	7	4	5	*	4	-4	16	18	0	3	0	1	0	S	s	1	2.263	0.816	8.628059695794468	
085101	12	7	5	8	*	2	1	17	17	1	2	1	1	0	H	h	1	3.196	0.637	8.628059695794468	
085101	12	7	6	4	/	1	4	8	8	1	1	1	1	0	N	n	1	1.936	0.734	8.628059695794468	
085101	12	7	7	6	*	6	-9	27	26	0	3	0	1	0	K	k	1	2.322	1.304	8.628059695794468	
085101	13	6	1	4	*	8	-1	31	22	0	3	0	1	0	H	h	1	2.253	0.876	8.628059695794468	
085101	13	6	2	1	*	3	5	8	4	0	1	0	1	0	Y	y	1	2.147	0.878	8.628059695794468	
085101	13	6	3	2	/	2	5	6	6	1	1	1	1	0	S	s	1	1.986	0.928	8.628059695794468	
085101	13	6	4	2	*	2	9	13	13	1	1	1	1	0	F	f	1	2.809	0.831	8.628059695794468	
085101	13	6	5	5	*	2	-1	9	6	0	2	0	1	0	P	p	1	3.316	0.881	8.628059695794468	
085101	13	6	6	4	*	2	6	14	14	1	1	1	1	0	N	n	1	2.432	1.007	8.628059695794468	
085101	14	5	1	9	*	2	-2	16	23	0	2	0	1	0	R	r	1	2.999	0.926	8.628059695794468	
085101	14	5	2	1	*	6	7	13	13	1	1	1	1	0	J	j	1	2.52	0.911	8.628059695794468	
085101	14	5	3	4	/	2	4	6	6	1	1	1	1	0	S	s	1	3.303	1.211	8.628059695794468	
085101	14	5	4	7	*	6	4	46	37	0	4	0	1	0	L	l	1	2.181	1.992	8.628059695794468	
085101	14	5	5	9	*	4	-7	29	22	0	3	0	1	0	N	n	1	2.679	1.091	8.628059695794468	
085101	15	3	1	7	*	2	1	15	15	1	2	1	1	0	K	k	1	3.038	1.739	8.628059695794468	
085101	15	3	2	8	/	2	3	7	5	0	1	NA	0	1	F	f	1	8.628059695794468	0	8.628059695794468	
085101	15	3	3	5	/	1	8	13	13	1	1	1	1	0	S	s	1	2.99	0.773	8.628059695794468	
085101	16	7	1	6	*	9	2	56	56	1	4	0	0	0	F	f	1	1.548	0.849	8.628059695794468	
085101	16	7	2	3	*	8	7	31	31	1	3	0	0	0	L	l	1	3.311	0.725	8.628059695794468	
085101	16	7	3	9	*	9	6	87	87	1	4	1	1	0	T	t	1	1.735	0.897	8.628059695794468	
085101	16	7	4	8	*	4	4	36	39	0	3	0	1	0	R	r	1	2.424	1.344	8.628059695794468	
085101	16	7	5	2	*	6	9	21	22	0	2	0	1	0	J	j	1	4.151	1.786	8.628059695794468	
085101	16	7	6	6	/	6	3	4	4	1	1	1	1	0	N	n	1	1.962	0.715	8.628059695794468	
085101	16	7	7	3	*	9	-2	25	20	0	3	0	1	0	S	s	1	1.959	1.371	8.628059695794468	
085101	17	4	1	2	*	3	4	10	10	1	1	1	1	0	P	p	1	1.508	0.576	8.628059695794468	
085101	17	4	2	5	/	5	7	8	2	0	1	0	1	0	K	k	1	1.969	0.897	8.628059695794468	
085101	17	4	3	9	*	8	-5	67	68	0	4	1	0	0	R	r	1	2.722	1.234	8.628059695794468	
085101	17	4	4	2	*	8	-5	11	11	1	2	1	1	0	Q	q	1	2.431	1.053	8.628059695794468	
